rno	ono	review	star	uno
62	85	거품이 잘 안 나요. 세정력이 의심됩니다.	2	4
63	87	머릿결은 좋아지는데 두피가 가려워요.	2	22
64	88	꾸준히 쓰니까 빠지는 양이 확실히 줄었습니다.	5	24
65	89	크기가 너무 작아서 소형차 아니면 못 쓸 듯요.	2	23
66	90	물기 흡수가 잘 안 되고 그냥 겉돌아요.	1	4
67	91	향이 너무 인위적이고 독해요. 방향제 냄새 같아요.	2	3
68	93	발림성은 좋은데 피부 톤 보정은 거의 안 되네요.	3	26
69	95	살균 기능은 모르겠고 그냥 건조용으로만 씁니다.	3	24
70	96	충전 단자가 불량이라 충전이 안 돼요. 화나네요.	1	6
71	97	향이 은은해서 선물했는데 친구가 좋아해요.	5	24
72	98	보습 기능이 하나도 없어요. 금방 건조해집니다.	2	2
73	99	알이 너무 커서 목구멍에 자꾸 걸려요.	3	34
74	100	성분은 좋다는데 효과는 아직 잘 모르겠네요.	3	16
75	101	부드럽긴 한데 먼지가 너무 많이 날려요.	2	46
76	102	가볍고 따뜻해서 아이들이 좋아합니다.	5	28
77	104	가벼워서 이동하기 편해요. 다만 상판이 좀 얇네요.	3	7
78	105	흔들림이 너무 심해요. 노트북 올려두면 불안합니다.	2	6
79	107	빛 차단은 확실한데 냄새가 너무 심해서 빨고 써야 해요.	3	23
80	108	암막 성능 최고입니다! 낮에도 밤처럼 어두워요.	5	50
81	110	조명은 예쁜데 가습량이 너무 적어서 효과가 없어요.	2	7
82	111	물이 자꾸 새서 가구 다 버렸네요. 절대 사지 마세요.	1	30
83	113	높이가 너무 높아서 자고 나면 목이 뻐근해요.	2	38
84	114	적당히 푹신해서 꿀잠 잤습니다. 만족해요.	5	13
85	116	거울 왜곡이 좀 있는 것 같아요. 날씬해 보이긴 하네요.	3	23
86	117	배송 중에 거울이 깨져서 왔어요. 교환 처리가 너무 느려요.	1	2
87	118	수납공간은 넉넉한데 플라스틱이 너무 약해요.	2	28
88	120	설치가 간편하고 먼지가 잘 털려서 좋아요.	5	29
89	122	색감이 사진보다 어둡네요. 거실 분위기가 칙칙해졌어요.	2	34
90	124	인테리어 효과는 좋은데 가까이서 보면 티가 많이 나요.	3	15
91	126	밝기 조절도 잘 되고 눈이 편안해서 공부하기 좋네요.	5	39
92	127	받침대가 자꾸 뒤로 넘어가서 테이프로 고정했어요.	2	25
93	129	흡입력이 너무 약해요. 머리카락도 겨우 빨아들이네요.	2	1
94	130	작아서 차량용으로 쓰기 딱 좋습니다.	4	46
95	132	포장이 엉성해서 박스가 다 터져서 왔습니다.	1	9
96	133	눌어붙지 않고 요리가 잘 되네요. 예뻐서 더 좋아요.	5	29
97	135	필터가 비싸서 유지비가 좀 들 것 같아요.	3	19
98	137	등받이가 낮아서 오래 앉아 있으면 허리가 아파요.	2	35
99	138	캠핑장에서 썼는데 가볍고 튼튼해서 대만족입니다.	5	39
100	140	센서가 너무 예민해서 근처만 가도 자꾸 울려요.	3	33
101	141	반응 속도가 느려서 그냥 손으로 누르는 게 빨라요.	2	30
102	142	닭 한 마리 넣으면 꽉 차요. 생각보다 안 큽니다.	3	24
103	144	건전지가 너무 빨리 닳아요. 충전식이었으면 좋았을 텐데.	2	48
104	146	리모컨 배터리가 방전된 상태로 왔네요.	2	28
105	147	삼각대 기능이 부실해서 바람 불면 쓰러져요.	1	12
106	149	물기가 잘 안 말라요. 곰팡이 필까 봐 걱정됩니다.	2	45
107	150	미끄럼 방지 확실해서 아이 있는 집에 추천해요.	5	20
108	152	뚜껑 닫을 때 힘이 많이 들어가서 불편해요.	3	39
109	153	가루가 뭉치지 않고 잘 섞여서 운동할 때 편합니다.	5	3
110	154	두께감이 있어서 무릎 보호가 확실히 되네요.	5	45
111	155	고무 냄새가 너무 심해서 일주일째 베란다에 뒀어요.	2	5
112	157	화력이 생각보다 약해요. 물 끓이는 데 한참 걸립니다.	2	39
113	158	바람막이가 있어서 야외에서 쓰기 정말 좋네요.	5	16
114	160	과일 갈아 마시기 좋은데 소음이 기차 지나가는 수준이에요.	3	25
115	162	보온은 잘 되는데 뚜껑 세척하기가 너무 힘들어요.	3	41
116	163	떨어뜨렸는데 바로 찌그러졌어요. 내구성이 아쉽네요.	2	39
117	164	숫자가 커서 밤에 보기 편해요. 디자인도 깔끔합니다.	5	12
118	165	시간이 조금씩 안 맞아요. 매번 다시 맞추기 귀찮네요.	2	13
119	167	옷이 생각보다 많이 안 들어가요. 부풀어 오릅니다.	2	44
120	169	실리콘이라 안심하고 써요. 색깔도 예쁩니다.	5	38
121	170	카레 요리 한 번 했더니 색이 배어서 안 빠져요.	2	8
122	171	바람은 시원한데 배터리가 너무 빨리 닳아요.	3	8
123	172	충전 단자가 하루 만에 쑥 빠져버렸어요. 황당하네요.	1	39
124	173	바퀴가 없어서 이동할 때마다 무거워서 힘들어요.	2	40
125	175	정확도가 떨어지는 것 같아요. 잴 때마다 무게가 달라요.	2	1
126	176	베이킹용으로 딱입니다. 작고 보관하기 좋아요.	5	16
127	177	수건이 너무 얇아요. 몇 번 빨면 구멍 날 것 같습니다.	1	37
128	178	흡수력은 좋은데 먼지가 계속 나와서 고생했어요.	2	33
129	179	자외선 차단은 잘 되는데 우산 살이 너무 약해요.	3	37
130	181	푹신해서 좋은데 바닥 미끄럼 방지가 전혀 안 돼요.	2	35
131	184	가죽 냄새가 너무 독해서 머리가 아파요.	2	26
132	185	디자인 깔끔하고 정장에 잘 어울려서 남편이 좋아해요.	5	38
133	186	어플 연결이 자꾸 끊겨서 화가 납니다.	1	16
134	187	체지방 측정이 생각보다 정확한 것 같아 만족해요.	4	4
135	188	모가 너무 뻣뻣해서 잇몸에서 피가 났어요.	1	14
136	189	개별 포장이라 여행 갈 때 챙기기 너무 좋습니다.	5	44
137	190	15인치 넣으니까 너무 꽉 끼어서 지퍼가 안 잠겨요.	2	27
138	192	지퍼가 자꾸 씹혀서 열고 닫기 짜증 나요.	1	34
139	193	캐리어 정리하니까 짐이 두 배는 더 들어가네요!	5	17
140	194	처음엔 물기를 잘 흡수하더니 금방 축축해져요.	3	40
141	196	마사지 힘이 너무 약해서 장난감 같아요.	1	33
142	197	무선이라 편하고 자기 전에 하면 피로가 풀려요.	4	30
143	199	흡수력이 진짜 좋네요. 강아지도 편해 보여요.	5	15
144	200	가성비 최고입니다. 양도 많아서 든든해요.	5	27
145	201	배송이 하루 늦었지만 제품 자체는 만족합니다.	4	36
146	202	고양이가 환장하고 달려드네요. 대만족!	5	13
147	203	깃털이 금방 빠지긴 하는데 애가 너무 잘 놀아요.	4	24
148	204	캠핑 무드 내기 최고입니다. 밝기 조절도 편해요.	5	31
149	205	디자인이 감성적이라 집에서도 인테리어로 써요.	5	2
150	206	생각보다 크기가 작아서 당황했지만 밝기는 좋네요.	4	41
151	207	책상이 넓어진 기분이에요. 튼튼합니다.	5	9
152	209	무선 충전이 너무 편해요. 인식도 잘 됩니다.	5	18
153	210	케이스가 두꺼우면 인식이 좀 안 되긴 하네요.	3	49
154	211	거치대 각도가 고정이라 조금 아쉽지만 쓸만해요.	4	35
155	212	나무 결이 너무 고급스럽고 칼질 소리가 좋아요.	5	19
156	213	원목이라 관리가 어렵지만 예뻐서 참습니다.	4	49
157	214	보풀 제거가 시원하게 잘 되네요. 새 옷 같아요.	5	48
158	215	소리가 좀 크긴 한데 성능이 좋아서 추천합니다.	5	9
159	216	먼지통 비울 때 가루가 좀 날려요.	3	25
160	217	가습량이 적당해서 침대 옆에 두기 좋아요.	5	50
161	219	브러쉬 모질이 부드러워서 화장이 잘 먹네요.	5	5
162	220	구성이 알차서 이것만 있으면 화장 끝이에요.	5	36
163	221	물걸레질하기 편하고 잘 닦여요.	4	14
164	223	옷을 많이 걸어도 휘어짐 없이 튼튼합니다.	5	9
165	224	조립이 생각보다 힘들어서 땀 좀 뺐네요.	3	47
166	225	겨울 캠핑 때 썼는데 정말 따뜻하게 잘 잤어요.	5	28
167	226	전기 요금이 적게 나와서 집에서도 잘 씁니다.	5	18
168	227	이불 부피가 확 줄어서 장롱 공간이 남네요!	5	44
169	228	공기가 조금씩 새는 것 같기도 하지만 가격 대비 만족.	3	44
170	229	아이 손 끼일 걱정 없어서 마음이 놓입니다.	5	40
171	231	답답하지 않고 숨쉬기 편해서 계속 이것만 써요.	5	6
172	233	냉감이 확실히 느껴져서 여름에 필수네요.	5	42
173	235	그립감이 좋고 고기도 잘 썰립니다. 주방 필수템!	5	22
174	236	가위가 좀 무겁긴 한데 절삭력이 괴물이에요.	4	27
175	237	무타공이라 전셋집에서 쓰기 딱 좋습니다.	5	27
176	239	전기가 안 드니까 친환경적이고 인테리어로도 굿!	5	35
177	240	가습 효과가 드라마틱하진 않지만 은은해서 좋아요.	4	17
178	241	가방에 쏙 들어가서 장볼 때마다 유용해요.	5	45
179	242	천이 얇아서 무거운 거 담으면 좀 불안합니다.	2	16
180	243	닭가슴살이 이렇게 부드러울 수 있나요? 진짜 맛있어요.	5	31
181	244	냉동 상태가 좀 녹아서 왔지만 맛은 괜찮네요.	3	13
182	245	다이어트 식단으로 최고입니다. 재구매 의사 100%!	5	7
183	247	견과류가 쩐내 없이 고소하고 신선해요.	5	41
184	248	봉지마다 구성이 일정해서 만족스럽습니다.	5	7
185	249	비바람에도 끄떡없고 설치가 정말 간편해요.	5	42
186	250	마감 처리가 살짝 미흡한 부분이 있지만 성능은 굿.	4	25
187	252	키보드 먼지 털기 딱이에요. 바람 세기가 엄청납니다!	5	25
188	253	소음이 좀 커서 밤에는 쓰기 힘들 것 같아요.	3	5
189	254	충전도 빠르고 노즐이 다양해서 활용도가 높네요.	5	35
190	255	스트레칭 할 때 등이 시원하게 펴집니다.	5	28
191	256	생각보다 딱딱해서 처음엔 좀 아픈데 적응되니 좋아요.	4	22
192	257	바지가 흘러내리지 않고 깔끔하게 정리됩니다.	5	14
193	258	원목이라 옷장 분위기가 고급스러워졌어요.	5	44
194	259	자석 힘이 좋아서 고속도로 달려도 안 떨어지네요.	5	37
195	260	햇빛 차단은 잘 되는데 시야를 좀 가리는 느낌이에요.	3	39
196	261	화분에 물 줄 때 너무 편해요. 디자인도 깔끔!	5	38
197	263	유리 도마라 칼집이 안 나서 위생적입니다.	5	29
198	264	무거워서 설거지할 때 손목이 좀 아프긴 해요.	3	44
199	265	디자인이 예뻐서 주방 인테리어용으로도 좋아요.	5	27
200	266	얼음이 진짜 오래 가네요. 낚시 필수템입니다.	5	44
201	267	용량이 커서 1박 2일 캠핑에도 끄떡없어요.	5	33
202	268	손목 무리가 확실히 덜 가요. 운동 효과 최고!	5	27
203	269	자취생 필수품입니다. 밥이 찰지게 잘 되네요.	5	40
204	270	내구성이 좀 약해 보여요. 뚜껑 결합부가 불안합니다.	2	47
205	271	작아서 캠핑 갈 때 들고 가기 너무 좋아요.	5	42
206	272	야간 라이딩 때 시야 확보가 잘 돼서 안심입니다.	5	3
207	274	빨래가 많이 들어가고 메쉬라 냄새가 안 배요.	5	48
208	275	바퀴가 부드럽게 잘 굴러갑니다.	4	4
209	277	솔이 유연해서 구석진 곳 물때 제거에 최고예요.	5	4
210	278	손잡이가 좀 짧아서 깊은 곳 닦을 땐 불편해요.	3	22
211	279	환경 보호도 되고 빨대가 튼튼해서 마음에 들어요.	5	32
212	280	흔들리던 식탁이 드디어 평화를 되찾았습니다.	5	2
213	281	밤에 독서할 때 눈이 안 아파서 좋아요.	5	14
214	282	집게 힘이 약해서 자꾸 고개가 숙여지네요.	2	7
215	283	강아지가 간식 찾느라 시간 가는 줄 몰라요.	5	26
216	284	천이 좀 얇아서 금방 뜯어질 것 같긴 합니다.	3	17
217	285	고양이가 뜯고 씹고 난리가 났네요. 정말 좋아해요!	5	43
218	286	종이 가루가 조금 날리긴 하지만 이 정도면 만족!	4	41
219	287	전선 정리가 한방에 해결됐어요. 깔끔합니다!	5	19
220	288	뚜껑 열기가 좀 빡빡하지만 먼지 안 쌓여서 좋네요.	4	16
221	289	여름에 벌레 차단 확실하네요. 자석도 잘 붙어요.	5	36
222	290	망이 생각보다 약해서 고양이가 긁으니 바로 찢어지네요.	2	11
223	292	디자인이 심플해서 주방 어디든 잘 어울려요.	5	8
224	294	가성비 최고입니다. 사무실에서 막 쓰기 좋아요.	5	8
225	295	종이가 좀 얇아서 뜨거운 물 담으면 금방 흐물거려요.	3	21
226	297	에어컨 안 켜도 등이 시원해서 잠이 잘 옵니다.	5	35
227	298	처음엔 시원한데 시간이 지나면 체온 때문에 미지근해져요.	3	26
228	299	목을 잘 잡아줘서 비행기에서 꿀잠 잤습니다.	5	39
229	300	부피가 커서 가방에 넣기엔 좀 부담스럽네요.	4	11
230	301	땀 흡수도 빠르고 세탁해도 늘어나지 않아요.	5	21
231	303	그림이 너무 감성적이라 무드등 하나로 방 분위기가 바뀌네요.	5	46
232	304	밝기 조절이 안 되는 게 아쉽지만 예쁘긴 합니다.	4	44
233	306	신발 먼지가 잘 털리고 디자인도 예뻐서 대만족!	5	33
234	307	고무 냄새가 처음엔 좀 나네요. 환기 필수입니다.	3	35
235	308	설거지통으로 쓰기 딱이에요. 접히니까 보관도 굿!	5	1
236	310	냄비 받침 치고는 너무 예뻐서 장식용으로 써요.	5	8
237	312	화장대 위가 드디어 정리가 됐습니다. 속이 다 시원해요.	5	38
238	313	투명해서 내용물 찾기 편한데 지문이 좀 잘 묻네요.	4	34
239	314	비상시에 쓰려고 샀는데 구성이 알차서 든든합니다.	5	16
240	317	자물쇠가 묵직해서 도난 걱정 없을 것 같아요.	5	33
241	318	번호 맞추는 부분이 좀 뻑뻑해서 손가락이 아파요.	2	47
242	319	키보드 오염 방지에 최고입니다. 타이핑 소리도 줄어들어요.	5	27
243	321	녹물 나오는 게 눈으로 보이니 안심하고 샤워합니다.	5	30
244	322	필터 교체 주기가 생각보다 빨라서 유지비가 좀 들어요.	3	13
245	323	베란다가 화사해졌어요. 조립도 5분 컷입니다.	5	23
246	325	옷 부피가 확 줄어서 캐리어 공간이 많이 남네요.	5	49
247	326	지퍼 부분이 좀 약해서 세게 당기면 터질 것 같아요.	3	36
248	327	정해진 시간에 딱딱 사료가 나오니 마음이 놓여요.	5	27
249	328	녹음 기능 음질이 별로라 강아지가 못 알아듣네요.	2	24
250	329	양념통이 귀엽고 전용 파우치가 있어서 캠핑 갈 때 편해요.	5	31
251	330	통 사이즈가 작아서 장기 캠핑엔 좀 부족할 듯.	4	8
252	332	향이 강하지 않고 탈취 효과가 확실해서 좋아요.	5	24
253	334	마우스 이동이 부드럽고 키보드까지 다 올라가서 편해요.	5	6
254	335	처음에 돌돌 말려 있어서 펴는 데 시간이 좀 걸렸네요.	3	33
255	337	드라이기 거치가 편해져서 머리 말릴 때 두 손이 자유로워요.	5	43
256	338	접착력이 너무 강해서 벽지가 뜯어질까 봐 걱정돼요.	4	22
257	339	가구 조립할 때 필수입니다. 소음도 적고 손에 착 붙네요.	5	43
258	341	베란다 화초 분갈이할 때 썼는데 딱 적당한 사이즈예요.	5	33
259	342	삽 손잡이가 좀 약해서 단단한 흙 팔 때는 휘어지네요.	2	47
260	344	신발 꼬질꼬질한 냄새가 한 번에 잡혀서 신기해요.	5	3
261	346	코트나 니트 먼지 제거할 때 이만한 게 없죠.	5	49
262	347	테이프 접착력이 너무 세서 옷감이 상할까 봐 살살 써요.	4	28
263	348	냉장고 김치 냄새를 아주 잘 잡아줍니다. 대만족!	5	34
264	350	디자인이 깔끔해서 거실 벽에 걸어두기 좋아요.	5	34
265	352	냉장고에 딱 붙여놓고 요리 시간 재기 정말 편합니다.	5	12
266	354	가정용으로 힘이 충분해요. 조립 가구 금방 만드네요.	5	11
267	355	배터리가 생각보다 빨리 닳아서 추가 배터리 사고 싶어요.	3	22
268	357	러닝할 때 스마트폰 흔들림 없이 고정돼서 좋아요.	5	20
269	358	팔이 얇은 편이라 그런지 벨크로를 끝까지 당겨야 하네요.	3	6
270	359	모니터 위에 두니 공간도 안 차지하고 눈이 훨씬 편해요.	5	43
271	361	강아지가 편해해요. 목 조임이 없어서 안심입니다.	5	14
272	362	색상이 화면보다 조금 어둡지만 튼튼해서 만족해요.	4	22
273	363	혹시 모를 상황 대비용인데 크기가 작아 보관이 쉽네요.	5	15
274	365	보온 보냉 성능이 괴물급입니다. 얼음이 안 녹아요.	5	13
275	366	통이 커서 세척할 때 손이 들어가니 너무 편합니다.	5	39
276	367	가죽 느낌이 부드럽고 책상이 훨씬 고급스러워 보여요.	5	29
277	369	작은데 바람이 꽤 세네요. 사무실 책상용으로 딱입니다.	5	20
278	370	충전 단자가 구형이라 조금 아쉽지만 성능은 만족해요.	4	14
279	371	여권이랑 티켓이 한 번에 들어가서 여행 때 유용했어요.	5	30
280	373	고양이가 정신없이 노네요. 캣잎 향이 진한가 봐요.	5	18
281	374	금방 침 범벅이 되긴 하지만 세탁이 가능해서 다행입니다.	4	45
282	376	마우스 손목 보호대 덕분에 손목 통증이 사라졌어요.	5	25
283	377	쿠션감이 금방 죽을까 봐 걱정되지만 지금은 대만족!	4	33
284	378	비행기 안에서 사용했는데 위생적이고 너무 편해요.	5	23
285	379	안장 통증이 확실히 줄었습니다. 자전거 탈 맛 나네요.	5	16
286	380	커버가 자꾸 미끄러져서 고정하는 데 애먹었어요.	2	22
287	381	화장실에서 스마트폰 볼 때 발 올리기 딱 좋은 높이!	5	37
288	382	애플워치 줄 바꿨는데 정품만큼 퀄리티가 좋네요.	5	32
289	384	서랍 정리 끝판왕입니다. 찾기가 너무 쉬워졌어요.	5	34
290	386	파티할 때 썼는데 튼튼해서 음식 많이 담아도 안 꺾여요.	5	25
291	387	충전하면서 마우스 쓸 수 있어서 책상이 깔끔해졌습니다.	5	7
292	388	패드 크기가 조금만 더 컸으면 좋았을 것 같아요.	3	17
293	389	부모님 영양제 챙겨드리기 너무 좋네요. 디자인도 깔끔!	5	23
294	391	창문 밖까지 깨끗해지니까 속이 다 시원합니다.	5	28
295	392	자석이 너무 강해서 손가락 끼이지 않게 조심해야 해요.	3	39
296	393	공간 활용도가 높고 설치가 생각보다 쉽네요.	4	7
297	395	헤드셋 보관이 애매했는데 거치대 하나로 해결됐어요.	5	9
298	396	밴드 탄성이 좋아서 홈트레이닝 할 때 필수입니다.	5	29
299	398	강아지 가방에 넣어뒀는데 위치 정확도가 꽤 높네요.	5	15
300	399	배터리 교체 주기가 생각보다 짧은 것 같습니다.	3	16
301	400	타일 사이 찌든 때가 아주 잘 닦입니다.	5	48
302	401	솔이 억세서 힘주어 닦기 좋은데 손잡이가 좀 미끄러워요.	3	8
303	402	실리콘이라 뜨거운 물에 소독해서 쓸 수 있어 안심입니다.	5	17
304	404	목이 안 아파요! 노트북 화면 높이가 딱 맞네요.	5	45
305	405	타이핑할 때 약간의 흔들림이 있지만 쓸만합니다.	4	43
306	406	시트 틈새에 물건 안 빠지게 막아줘서 너무 좋아요.	5	8
307	407	스테인리스라 냄새 안 배고 캠핑용으로 딱입니다.	5	47
308	408	발에 닿는 느낌이 너무 부드러워서 기분 좋아요.	5	16
309	409	물기 흡수는 빠른데 건조는 생각보다 오래 걸리네요.	3	23
310	410	오일이 한 방울씩 깔끔하게 나와서 주방이 깨끗해졌어요.	5	12
311	411	입구가 좁아서 세척 솔로 닦기가 좀 힘드네요.	3	17
312	413	지저분한 전선들 다 숨기니까 방이 넓어 보여요.	5	38
313	415	손난로 성능이 대박이에요. 올겨울 캠핑 필수템입니다.	5	44
314	416	보조배터리로 쓰기엔 용량이 좀 아쉽지만 난로로는 최고!	4	27
315	417	안전 거울이라 깨질 걱정 없어서 아이 방에 붙여줬어요.	5	10
316	418	유리 거울만큼 선명하진 않지만 가볍고 안전해서 만족합니다.	4	38
317	419	디자인이 귀엽고 책상 위 메모 정리하기 딱 좋네요.	5	22
318	420	펜슬 쓸 때 소음이 줄어들어서 도서관에서 쓰기 좋아요.	5	4
319	421	금방 닳아서 없어지는 게 좀 아깝긴 하네요.	2	23
320	423	수압이 생각보다 강력해서 청소가 훨씬 빨리 끝나요.	5	4
321	424	연결 부위에서 물이 조금 새서 테이프 감고 씁니다.	3	1
322	425	작은데 진동이 엄청 세요. 뭉친 어깨 풀기 좋습니다.	5	8
323	426	신발장 공간이 두 배가 됐어요! 정리 정돈 끝판왕입니다.	5	46
324	427	높은 굽 구두는 안 들어가서 낮은 신발 위주로 정리했어요.	4	21
325	428	눈썹 정리하기 너무 편해요. 칼보다 안전해서 좋습니다.	5	21
326	429	캐리어 스크래치 방지용으로 샀는데 색감도 튀고 예뻐요.	5	20
327	430	사이즈가 너무 타이트해서 씌울 때 힘이 좀 듭니다.	3	4
328	432	세차 용품들 다 때려 넣고 다니기 좋아요. 튼튼합니다.	5	18
329	433	두꺼운 전공 서적도 잘 버텨주네요. 각도 조절도 편해요.	5	7
330	434	싱크대 밑에 냄비들 다 정리했어요. 조립도 쉽습니다.	5	12
331	435	정전기로 먼지를 싹 잡아주니까 청소기 돌리는 횟수가 줄었네요.	5	40
332	436	위생적이고 한 장씩 뽑아 쓰기 좋아서 주방에서 잘 써요.	5	19
333	437	너무 얇아서 기름기 많은 거 닦을 땐 여러 장 써야 해요.	2	12
334	438	자석이 강력해서 냉장고에서 안 떨어지고 시간도 정확해요.	5	34
335	439	드레싱 섞을 때 최고입니다. 미니 사이즈라 귀여워요.	5	19
336	440	옷장에서 은은한 향기가 나니까 옷 입을 때 기분 좋네요.	5	41
337	441	향이 생각보다 금방 날아가는 것 같아 아쉬워요.	3	37
338	442	바닥이 도톰해서 돌밭에서도 엉덩이 안 아프고 좋아요.	5	23
339	443	부피가 커서 접어두면 짐이 좀 되긴 합니다.	4	50
340	445	문틀에 상처 안 나고 튼튼하게 고정되네요. 홈트 필수템!	5	6
341	446	설명서가 불친절해서 설치하는 데 30분 넘게 걸렸어요.	2	48
342	448	장거리 운전할 때 목이 확실히 덜 아파요. 푹신합니다.	5	6
343	450	칫솔 물기가 잘 빠져서 곰팡이 걱정 없겠어요.	5	49
344	451	접착력이 약한지 자꾸 떨어져서 실리콘으로 다시 붙였네요.	2	4
345	453	모니터 높이가 딱 맞아서 거북목 예방에 좋을 것 같아요.	5	47
346	454	원목이라 그런지 표면이 살짝 거친 부분이 있네요.	3	15
347	455	가볍고 접으면 슬림해서 캠핑 갈 때 짐 안 되고 좋아요.	5	25
348	457	얼음이 쏙쏙 잘 빠져서 스트레스 안 받고 좋습니다.	5	8
349	458	뚜껑이 완벽하게 밀폐되지는 않네요. 물 부을 때 조심하세요.	3	23
350	460	밤에 화장실 갈 때 눈 안 부시고 딱 좋아요. 센서 인식도 굿!	5	4
351	461	남은 과자 눅눅해지지 않게 보관할 수 있어 혁명입니다.	5	29
352	463	손에 물 안 묻히고 설거지하니 피부가 덜 상해요.	5	32
353	464	고무 장갑보다 두꺼워서 세밀한 설거지는 좀 힘드네요.	3	9
354	465	우리 집 강아지가 여름 내내 여기서 안 내려와요.	5	47
355	467	디자인이 독특해서 손님들이 올 때마다 물어봐요.	5	48
356	468	물 빠짐 구멍이 작아서 물이 좀 고이는 편입니다.	3	44
357	470	현관문 자석이 정말 강력해서 우산 4개 걸어도 끄떡없네요.	5	46
358	471	풀장에서 사진 찍었는데 물 하나도 안 들어오고 터치 잘 돼요.	5	4
359	473	거울 조명이 밝아서 화장이 훨씬 정교하게 잘 됩니다.	5	34
360	474	건전지 소모가 빨라서 매번 충전지 쓰기 귀찮네요.	3	24
361	476	무게가 정확해서 공항에서 당황할 일 없겠어요.	5	37
362	477	냉장고 옆 빈 공간에 쏙 들어가서 수납력이 엄청 좋아졌어요!	5	4
