ono	pno	uno	date	quantity
374	160	45	2026-06-25	4
375	160	2	2026-02-09	1
376	161	18	2026-02-14	4
377	161	47	2026-05-03	4
378	162	9	2026-01-12	5
379	163	24	2026-03-25	5
380	163	37	2026-07-08	4
381	164	28	2026-04-19	1
382	165	12	2026-06-22	1
383	165	44	2026-01-30	4
384	166	4	2026-08-01	4
385	166	25	2026-02-28	1
386	167	50	2026-05-15	3
387	168	5	2026-03-10	1
388	168	41	2026-01-05	4
389	169	10	2026-07-14	5
390	169	3	2026-04-20	1
391	170	36	2026-02-11	2
392	170	22	2026-06-05	3
393	171	2	2026-08-15	2
394	171	49	2026-03-22	1
395	172	19	2026-05-30	5
396	173	31	2026-01-18	3
397	173	12	2026-04-09	5
398	174	29	2026-02-05	3
399	174	44	2026-07-21	2
400	175	8	2026-03-14	2
401	175	1	2026-06-11	2
402	176	10	2026-01-25	5
403	176	33	2026-04-30	1
404	177	14	2026-08-05	5
405	177	39	2026-02-18	5
406	178	7	2026-05-12	4
407	179	44	2026-03-01	3
408	180	21	2026-07-19	1
409	180	48	2026-01-20	4
410	181	13	2026-02-14	1
411	181	27	2026-05-03	2
412	181	4	2026-08-01	2
413	182	9	2026-01-12	3
414	182	35	2026-03-25	5
415	183	50	2026-07-08	2
416	183	26	2026-04-19	2
417	184	4	2026-06-22	1
418	184	43	2026-01-30	4
419	185	6	2026-08-01	5
420	186	32	2026-02-28	5
421	186	11	2026-05-15	1
422	186	22	2026-03-10	1
423	187	20	2026-01-05	4
424	187	45	2026-07-14	1
425	188	3	2026-04-20	5
426	189	34	2026-02-11	3
427	189	2	2026-06-05	2
428	190	18	2026-08-15	5
429	191	47	2026-03-22	2
430	191	24	2026-05-30	4
431	191	10	2026-01-18	2
432	192	37	2026-04-09	2
433	193	28	2026-02-05	3
434	194	12	2026-07-21	5
435	195	30	2026-03-14	4
436	196	41	2026-06-11	3
437	196	10	2026-01-25	4
438	197	3	2026-04-30	3
439	198	36	2026-08-05	1
440	199	22	2026-02-18	5
441	199	17	2026-05-12	3
442	200	2	2026-03-01	2
443	200	49	2026-07-19	2
444	200	15	2026-01-20	2
445	201	31	2026-02-14	5
446	201	4	2026-05-03	2
447	201	15	2026-08-01	5
448	202	12	2026-01-12	4
449	202	29	2026-03-25	2
450	203	33	2026-07-08	3
451	203	14	2026-04-19	4
452	203	42	2026-06-22	5
453	204	39	2026-01-30	1
454	204	16	2026-08-01	5
455	205	7	2026-02-28	2
456	205	44	2026-05-15	1
457	206	21	2026-03-10	3
458	206	48	2026-01-05	3
459	206	9	2026-07-14	1
460	207	13	2026-04-20	2
461	208	27	2026-02-11	4
462	208	50	2026-06-05	4
463	209	35	2026-08-15	1
464	209	26	2026-03-22	1
465	210	4	2026-05-30	3
466	210	43	2026-01-18	1
467	211	32	2026-04-09	2
468	211	11	2026-02-05	3
469	211	1	2026-07-21	3
470	212	20	2026-03-14	3
471	213	45	2026-06-11	4
472	213	2	2026-01-25	2
473	214	34	2026-04-30	2
474	214	2	2026-08-05	5
475	214	18	2026-02-18	2
476	215	18	2026-05-12	5
477	216	47	2026-03-01	1
478	217	24	2026-07-19	1
479	217	37	2026-01-20	3
480	218	28	2026-04-22	3
481	218	12	2026-06-30	4
482	219	5	2026-02-15	4
483	219	30	2026-05-18	3
484	220	41	2026-03-12	2
485	220	10	2026-08-11	3
486	221	3	2026-02-14	2
487	221	36	2026-05-03	1
488	221	44	2026-01-22	1
489	222	22	2026-03-25	1
490	222	17	2026-07-08	5
491	223	2	2026-04-19	4
492	223	49	2026-06-22	5
493	223	8	2026-01-30	3
494	224	19	2026-08-01	1
495	224	31	2026-02-28	5
496	225	12	2026-05-15	2
497	225	29	2026-03-10	3
498	226	44	2026-01-05	2
499	226	8	2026-07-14	1
500	226	22	2026-04-20	5
501	227	1	2026-02-11	3
502	227	10	2026-06-05	2
503	228	33	2026-08-15	1
504	228	14	2026-03-22	1
505	229	39	2026-05-30	4
506	229	16	2026-01-18	5
507	229	5	2026-04-09	1
508	230	7	2026-02-05	4
509	230	44	2026-07-21	4
510	231	21	2026-03-14	2
511	231	48	2026-06-11	5
512	232	13	2026-01-25	5
513	232	27	2026-04-30	1
514	233	9	2026-08-05	5
515	233	35	2026-02-18	1
516	234	50	2026-05-12	2
517	234	26	2026-03-01	1
518	235	4	2026-07-19	1
519	235	43	2026-01-20	1
520	236	32	2026-04-22	2
521	236	11	2026-06-30	4
522	237	20	2026-02-15	1
523	237	45	2026-05-18	4
524	238	34	2026-03-12	3
525	238	2	2026-08-10	2
526	239	18	2026-03-24	5
527	239	47	2026-06-30	2
528	240	24	2026-01-19	2
529	240	37	2026-04-10	1
530	240	3	2026-07-05	4
531	241	12	2026-02-14	4
532	241	29	2026-05-03	2
533	242	33	2026-01-22	2
534	242	14	2026-03-25	4
535	243	39	2026-07-08	4
536	244	16	2026-04-19	3
537	245	7	2026-06-22	4
538	245	44	2026-01-30	2
539	245	1	2026-08-01	4
540	246	21	2026-02-28	4
541	247	48	2026-05-15	2
542	247	9	2026-03-10	1
543	248	13	2026-01-05	5
544	249	27	2026-07-14	5
545	250	50	2026-04-20	3
546	251	35	2026-02-11	1
547	251	26	2026-06-05	5
548	252	4	2026-08-15	5
549	253	43	2026-03-22	5
550	253	6	2026-05-30	3
551	253	28	2026-01-18	1
552	254	32	2026-04-09	5
553	255	11	2026-02-05	1
554	256	20	2026-07-21	4
555	256	45	2026-03-14	5
556	257	34	2026-06-11	3
557	257	2	2026-01-25	5
558	258	18	2026-04-30	4
559	259	47	2026-08-05	1
560	260	24	2026-02-18	3
561	260	37	2026-05-12	2
562	260	10	2026-03-01	3
563	261	16	2026-02-14	1
564	261	5	2026-05-03	3
565	262	7	2026-01-22	3
566	263	44	2026-03-25	1
567	263	1	2026-07-08	2
568	264	21	2026-04-19	3
569	265	48	2026-06-22	1
570	265	9	2026-01-30	3
571	266	13	2026-08-01	3
572	267	27	2026-02-28	3
573	267	50	2026-05-15	2
574	268	35	2026-03-10	4
575	269	26	2026-01-05	1
576	269	4	2026-07-14	4
577	270	43	2026-04-20	4
578	271	6	2026-02-11	4
579	272	32	2026-06-05	4
580	273	11	2026-08-15	3
581	273	20	2026-03-22	2
582	274	45	2026-05-30	4
583	275	34	2026-01-18	2
584	276	2	2026-04-09	4
585	276	40	2026-02-05	1
586	277	42	2026-07-21	4
587	278	2	2026-03-14	4
588	279	15	2026-06-11	1
589	279	22	2026-01-25	4
590	280	46	2026-04-30	1
591	280	12	2026-08-05	5
592	281	8	2026-01-15	3
593	281	32	2026-03-22	4
594	281	14	2026-06-08	2
595	282	5	2026-02-14	2
596	282	21	2026-05-19	4
597	283	50	2026-01-20	4
598	283	16	2026-04-11	3
599	283	38	2026-07-15	5
600	284	19	2026-02-28	1
601	284	32	2026-05-05	2
602	285	3	2026-03-12	1
603	285	47	2026-07-29	1
604	286	25	2026-01-25	3
605	286	10	2026-04-18	1
606	287	13	2026-05-30	5
607	287	27	2026-08-11	4
608	288	35	2026-02-10	3
609	288	9	2026-06-14	5
610	289	26	2026-03-05	1
611	290	4	2026-07-22	5
612	290	43	2026-01-11	2
613	291	6	2026-04-09	3
614	292	32	2026-06-25	4
615	292	11	2026-02-19	4
616	293	20	2026-05-15	2
617	294	45	2026-08-03	4
618	295	34	2026-01-28	5
619	295	2	2026-03-24	5
620	295	18	2026-07-01	3
621	296	47	2026-04-22	5
622	297	24	2026-06-12	5
623	298	37	2026-02-05	5
624	299	28	2026-05-18	3
625	299	12	2026-08-14	1
626	300	5	2026-03-11	5
627	300	30	2026-06-02	1
628	300	41	2026-01-19	2
