rno	dno	rating	text
43	3717	1	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
44	4101	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
45	872	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
46	4159	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
47	3064	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
48	4345	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
49	2656	4	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
50	2974	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
51	1962	2	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
52	646	2	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
53	567	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
54	1031	2	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
55	4504	3	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
56	4970	4	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
57	4418	5	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
58	2554	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
59	3589	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
60	992	3	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
61	2770	1	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
62	1886	4	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
63	582	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
64	1876	2	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
65	2707	2	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
66	2282	5	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
67	4418	3	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
68	4721	4	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
69	3335	3	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
70	3532	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
71	3826	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
72	807	2	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
73	896	3	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
74	4394	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
75	1504	3	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
76	618	4	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
77	803	2	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
78	121	5	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
79	1363	4	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
80	1752	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
81	1349	4	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
82	2173	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
83	2337	4	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
84	3987	3	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
85	1784	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
86	4442	2	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
87	469	2	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
88	4120	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
89	1290	2	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
90	657	5	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
91	4875	2	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
92	3308	2	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
93	2017	4	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
94	672	4	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
95	4631	4	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
96	1674	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
97	1956	3	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
98	2458	4	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
99	77	4	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
100	820	2	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
101	4145	3	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
102	564	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
103	2335	3	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
104	2479	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
105	65	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
106	2453	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
107	1101	3	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
108	4533	3	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
109	4955	3	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
110	1668	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
111	4141	4	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
112	757	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
113	362	1	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
114	2146	3	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
115	4520	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
116	80	2	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
117	4470	1	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
118	4772	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
119	1045	1	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
120	327	5	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
121	2045	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
122	4587	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
123	1267	5	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
124	1332	5	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
125	3378	1	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
126	3373	5	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
127	2186	3	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
128	3134	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
129	1823	3	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
130	2865	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
131	1827	1	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
132	3265	4	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
133	2287	4	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
134	3275	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
135	2713	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
136	2140	3	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
137	314	2	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
138	2832	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
139	3575	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
140	948	4	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
141	1558	3	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
142	14	4	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
143	1615	4	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
144	2705	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
145	2461	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
146	2673	4	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
147	4542	2	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
148	3106	5	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
149	4663	4	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
150	4	4	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
151	3522	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
152	2640	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
153	1751	4	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
154	695	3	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
155	2746	2	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
156	2543	3	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
157	1208	1	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
158	3893	5	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
159	3731	4	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
160	1593	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
161	4050	4	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
162	46	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
163	3483	3	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
164	3806	2	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
165	995	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
166	4352	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
167	2600	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
168	4136	4	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
169	3653	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
170	3687	3	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
171	2272	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
172	3970	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
173	3604	2	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
174	1921	3	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
175	4425	2	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
176	1895	4	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
177	1753	2	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
178	2711	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
179	511	3	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
180	3191	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
181	161	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
182	3117	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
183	2447	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
184	4410	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
185	4942	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
186	1798	3	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
187	238	4	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
188	1353	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
189	4376	1	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
190	4849	4	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
191	688	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
192	3783	3	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
193	3106	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
194	2678	4	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
195	2280	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
196	2067	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
197	159	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
198	2867	3	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
199	330	5	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
200	1634	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
201	1249	3	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
202	938	4	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
203	3810	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
204	1375	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
205	1342	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
206	4741	1	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
207	4717	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
208	3250	5	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
209	623	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
210	835	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
211	4919	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
212	337	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
213	3036	2	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
214	104	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
215	865	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
216	3767	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
217	1443	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
218	4409	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
219	3569	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
220	2199	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
221	710	3	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
222	1998	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
223	5000	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
224	236	4	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
225	1490	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
226	2117	4	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
227	2264	4	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
228	1566	2	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
229	4003	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
230	3901	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
231	3672	5	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
232	2411	3	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
233	2509	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
234	3877	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
235	3486	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
236	2710	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
237	2220	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
238	989	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
239	980	5	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
240	1570	3	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
241	2266	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
242	4889	3	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
243	1591	3	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
244	1470	4	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
245	1037	3	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
246	4534	3	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
247	4022	2	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
248	4703	3	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
249	3609	4	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
250	2069	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
251	935	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
252	4029	2	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
253	1243	3	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
254	2490	2	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
255	971	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
256	4967	4	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
257	1849	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
258	3691	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
259	4822	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
260	4659	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
261	813	5	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
262	1729	3	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
263	1287	3	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
264	615	3	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
265	3691	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
266	2386	1	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
267	2317	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
268	584	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
269	4832	5	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
270	3483	2	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
271	1221	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
272	585	2	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
273	4875	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
274	2365	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
275	2492	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
276	4100	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
277	659	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
278	2641	5	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
279	749	3	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
280	4810	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
281	4721	1	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
282	3855	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
283	2279	3	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
284	3571	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
285	748	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
286	2731	4	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
287	1318	4	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
288	2362	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
289	4507	1	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
290	2577	3	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
291	3312	5	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
292	4445	4	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
293	1537	4	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
294	4084	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
295	1668	3	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
296	2360	4	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
297	995	1	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
298	1961	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
299	4513	1	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
