s_no,tick,change_pct,volume
1,326,-0.112,4069
1,327,0.234,4603
1,328,0.149,4647
1,329,-0.834,4519
1,330,-0.143,4674
1,331,0.309,4116
1,332,-0.030,4485
1,333,0.008,4303
1,334,0.079,3879
1,335,0.060,3745
1,336,-0.377,4696
1,337,0.300,3806
1,338,-0.523,4727
1,339,-0.437,4155
1,340,0.341,4601
1,341,-0.096,4433
1,342,-0.056,3588
1,343,0.142,4688
1,344,0.230,4339
1,345,0.255,3904
1,346,-0.578,5246
1,347,0.320,4256
1,348,0.190,4063
1,349,0.353,4640
1,350,0.122,3989
1,351,0.268,3896
1,352,0.138,4190
1,353,0.266,4672
1,354,-0.677,4586
1,355,0.255,4524
1,356,-0.327,4703
1,357,-0.426,4237
1,358,0.240,3948
1,359,0.409,4957
1,360,-0.004,4161
1,361,-0.418,3960
1,362,0.189,3746
1,363,-0.336,3952
1,364,-0.132,4641
1,365,-0.048,3841
1,366,-0.222,4263
1,367,0.082,4533
1,368,-0.674,5236
1,369,0.224,4579
1,370,0.041,4049
1,371,-0.099,3819
1,372,0.114,4728
1,373,0.397,3947
1,374,-0.255,4723
1,375,-0.494,5130
1,376,0.373,4911
1,377,0.521,4331
1,378,-0.782,5176
1,379,0.265,4275
1,380,-0.375,5016
1,381,-0.806,5104
1,382,0.039,4136
1,383,0.399,4278
1,384,-0.250,3749
1,385,0.158,4301
1,386,0.613,4862
1,387,-0.218,3925
1,388,-0.215,4372
1,389,0.106,4484
1,390,0.056,4580
1,391,-0.135,3751
1,392,0.236,3921
1,393,-0.501,4607
1,394,0.445,4965
1,395,0.545,5135
1,396,-0.177,3979
1,397,-0.734,4436
1,398,-0.409,4069
1,399,-0.093,4035
1,400,-0.793,5015
1,401,-0.680,4642
1,402,-0.048,4610
1,403,-0.023,3683
1,404,0.512,4107
1,405,0.041,4231
1,406,0.335,4512
1,407,0.829,4800
1,408,0.571,5127
1,409,0.164,4571
1,410,0.520,4188
1,411,-0.482,3993
1,412,0.271,4198
1,413,-0.620,4980
1,414,-0.182,4772
1,415,-0.072,3578
1,416,-0.379,4657
1,417,-0.229,4098
1,418,-0.199,4496
1,419,-0.280,4614
1,420,0.807,4448
1,421,0.733,5385
1,422,0.114,4582
1,423,-0.063,3947
1,424,-0.362,3934
1,425,0.442,4257
1,426,0.149,4504
1,427,0.021,4198
1,428,-0.383,3983
1,429,-0.481,4312
1,430,0.004,4107
1,431,0.342,4135
1,432,0.675,4439
1,433,0.318,4710
1,434,0.386,3939
1,435,0.632,4855
1,436,-0.375,4649
1,437,-0.056,3691
1,438,-0.151,3890
1,439,0.131,3872
1,440,0.213,4034
1,441,0.487,4837
1,442,0.634,5157
1,443,-0.085,4355
1,444,-0.191,4242
1,445,0.701,4892
1,446,-0.011,4583
1,447,0.448,4825
1,448,-0.070,4417
1,449,-0.160,4776
1,450,-0.039,4558
1,451,-0.447,4798
1,452,-0.459,4517
1,453,-0.038,4461
1,454,-0.549,5089
1,455,0.588,4366
1,456,0.054,4376
1,457,1.009,5128
1,458,-0.248,3928
1,459,0.196,3757
1,460,-0.047,3882
1,461,0.141,4442
1,462,-0.852,5254
1,463,-0.081,4371
1,464,0.740,4541
1,465,0.147,3951
1,466,-0.105,3631
1,467,-0.747,5087
1,468,-0.380,4583
1,469,0.330,4460
1,470,-0.093,4346
1,471,0.164,4218
1,472,-0.205,3905
1,473,0.184,3818
1,474,-0.230,4162
1,475,-0.003,3707
1,476,0.590,4675
1,477,0.483,4610
1,478,0.537,4091
1,479,-0.127,3863
1,480,-0.842,5409
1,481,0.507,4976
1,482,-0.087,3888
1,483,0.368,4298
1,484,-0.469,4894
1,485,0.064,4394
1,486,0.260,3785
1,487,0.487,4945
1,488,0.146,4257
1,489,0.247,4514
1,490,-0.481,4791
1,491,0.360,4554
1,492,-0.009,4383
1,493,-0.203,4505
1,494,0.143,4160
1,495,-0.140,4602
1,496,0.143,4005
1,497,0.186,3951
1,498,0.207,4127
1,499,-0.181,4088
1,500,0.642,4691
1,501,-0.719,4877
1,502,0.484,4271
1,503,-1.010,4995
1,504,0.595,4950
1,505,-0.498,4460
1,506,0.118,3670
1,507,-0.065,3670
1,508,0.214,4400
1,509,0.155,3957
1,510,0.475,4523
1,511,0.505,4469
1,512,0.555,4244
1,513,-0.122,4603
1,514,-0.114,4761
1,515,-0.315,4119
1,516,0.138,3755
1,517,0.185,4507
1,518,0.752,5382
1,519,0.700,4664
1,520,0.101,3833
1,521,1.196,4846
1,522,-0.317,4417
1,523,-0.052,3647
1,524,0.774,4752
1,525,-0.125,4724
1,526,0.429,4550
1,527,-0.503,4575
1,528,0.365,4916
1,529,0.140,3990
1,530,0.615,4521
1,531,0.559,5163
1,532,-0.644,4922
1,533,-0.063,4324
1,534,0.362,4419
1,535,-0.158,4141
1,536,-0.438,4663
1,537,0.176,4663
1,538,-0.463,5038
1,539,0.220,3774
1,540,0.500,4189
1,541,0.141,4619
1,542,0.377,4003
1,543,-0.017,4110
1,544,0.194,3974
1,545,0.297,4039
1,546,0.144,4706
1,547,-0.124,4119
1,548,0.079,4188
1,549,0.554,4217
1,550,0.243,3871
1,551,-0.528,5019
1,552,-0.417,4188
1,553,-0.214,4526
1,554,-0.354,4627
1,555,-0.376,4409
1,556,-0.651,5216
1,557,0.190,4476
1,558,0.220,3988
1,559,0.618,4615
1,560,-0.039,4160
1,561,-0.092,3960
1,562,0.030,4507
1,563,0.384,5025
1,564,0.534,4620
1,565,0.422,4027
1,566,0.271,4856
1,567,0.299,3833
1,568,-0.312,4297
1,569,0.336,3968
1,570,1.128,5686
1,571,0.383,4213
1,572,0.291,4322
1,573,0.378,4678
1,574,0.017,3803
1,575,0.135,4419
1,576,0.107,3982
1,577,0.449,4673
1,578,0.713,4442
1,579,-0.178,4711
1,580,0.249,3771
1,581,-0.075,4253
1,582,0.466,4446
1,583,0.083,4734
1,584,-0.109,4191
1,585,-0.015,4048
1,586,0.314,4195
1,587,-0.025,4415
1,588,0.889,5006
1,589,0.284,4342
1,590,0.455,5088
1,591,0.014,4075
1,592,0.364,4609
1,593,0.078,3707
1,594,0.208,4595
1,595,0.655,4313
1,596,-0.491,4500
1,597,0.577,4215
1,598,0.160,3806
1,599,0.202,4669
1,600,0.054,4235
1,601,0.484,4507
1,602,-0.643,4553
1,603,0.126,4743
1,604,0.699,4855
1,605,-0.120,4693
1,606,0.010,4084
1,607,-0.235,4615
1,608,0.204,4726
1,609,0.235,4429
1,610,-0.216,4035
1,611,0.132,4740
1,612,0.180,4524
1,613,-0.223,3985
1,614,-0.202,4815
1,615,0.215,3857
1,616,0.234,4436
1,617,0.132,3835
1,618,0.064,3709
1,619,0.225,4765
1,620,0.140,4200
1,621,-0.017,4466
1,622,0.296,3966
1,623,0.131,4483
1,624,0.520,5143
1,625,0.029,3653
1,626,-0.511,4045
1,627,0.155,4775
1,628,0.135,4358
1,629,-0.411,4230
1,630,0.450,5071
1,631,-0.734,5104
1,632,0.326,4924
1,633,0.110,3802
1,634,-0.399,4235
1,635,0.457,4488
1,636,0.378,4783
1,637,-0.700,4824
1,638,0.012,4218
1,639,-0.298,4654
1,640,0.750,5007
1,641,0.288,3884
1,642,0.355,4919
1,643,-0.296,4208
1,644,0.691,4922
1,645,0.527,5194
1,646,-0.310,4226
1,647,0.319,4207
1,648,0.119,4388
1,649,-0.044,4295
1,650,-0.278,4338
1,651,-0.005,3706
1,652,-0.049,4368
1,653,0.294,4417
1,654,0.635,4218
1,655,0.324,4610
1,656,0.100,3659
1,657,0.233,4168
1,658,0.520,4157
1,659,0.254,4631
1,660,0.395,4050
1,661,-0.772,5350
1,662,0.423,4296
1,663,-0.437,3971
1,664,-0.634,4546
1,665,0.101,4267
1,666,0.290,4228
1,667,-0.530,4479
1,668,-0.538,4955
1,669,-0.056,3574
1,670,0.204,4644
1,671,0.702,5364
1,672,-0.427,4540
1,673,0.705,5014
1,674,0.423,4208
1,675,-0.126,3789
1,676,0.055,4506
1,677,-0.504,4324
1,678,0.732,4770
1,679,0.124,4356
1,680,0.654,4490
1,681,0.291,4031
1,682,0.252,4022
1,683,-0.030,4174
1,684,0.149,3935
1,685,0.344,4614
1,686,-0.358,4682
1,687,-0.256,4414
1,688,-0.325,4987
1,689,-0.268,3923
1,690,-0.432,4111
1,691,-0.306,4398
1,692,-0.643,5176
1,693,0.397,3983
1,694,-0.225,4356
1,695,-0.158,4239
1,696,0.700,4761
1,697,-0.652,4902
1,698,0.788,5390
1,699,-0.026,4402
1,700,1.014,5020
1,701,-0.702,5056
1,702,-0.026,3742
1,703,0.614,4589
1,704,-0.080,3859
1,705,0.253,4509
1,706,0.405,4261
1,707,0.112,4245
1,708,-0.802,5161
1,709,0.488,4704
1,710,0.409,4182
1,711,-0.506,4420
1,712,-0.187,4444
1,713,-0.077,4298
1,714,-0.200,4452
1,715,0.118,4555
1,716,-0.684,4736
1,717,-0.410,4206
1,718,-0.346,4847
1,719,0.088,4260
1,720,0.405,4333
1,721,0.341,4310
1,722,-0.147,3940
1,723,0.122,4767
1,724,-0.195,4741
1,725,0.669,5274
1,726,-0.647,4826
1,727,-0.195,4543
1,728,0.474,4072
1,729,-0.193,4291
1,730,-0.053,3642
1,731,0.895,4824
1,732,0.277,3987
1,733,0.005,4467
1,734,-0.896,4810
1,735,-0.191,4086
1,736,0.084,3654
1,737,0.192,4032
1,738,0.096,4443
1,739,0.647,4196
1,740,-0.425,4365
1,741,-0.127,3806
1,742,0.069,3913
1,743,0.254,4899
1,744,-0.224,4414
1,745,1.004,4908
1,746,0.038,4510
1,747,-0.117,3984
1,748,0.230,4323
1,749,-0.197,4347
1,750,0.060,4360
1,751,0.058,3963
1,752,-0.067,3579
1,753,-0.030,3767
1,754,-0.987,4723
1,755,0.075,3813
1,756,-0.024,3760
1,757,-0.629,4351
1,758,0.149,4490
1,759,0.392,4153
1,760,0.513,4030
1,761,-0.089,3648
1,762,-0.204,4185
1,763,-0.202,4590
1,764,-0.267,4743
1,765,0.481,4007
1,766,-0.070,4253
1,767,0.013,4634
1,768,-0.079,3812
1,769,-0.396,4142
1,770,-0.217,3808
1,771,-0.287,4799
1,772,0.028,3617
1,773,-0.797,5152
1,774,1.193,5876
1,775,0.532,4846
1,776,0.117,4594
1,777,0.406,3942
1,778,0.206,4301
1,779,-0.042,4108
1,780,-0.422,4532
1,781,0.364,4300
1,782,-0.185,3804
1,783,0.425,4518
1,784,-0.162,4205
1,785,-0.248,4268
1,786,-0.032,3746
1,787,0.003,3998
1,788,-0.216,4289
1,789,-0.375,4871
1,790,0.390,5014
1,791,-0.256,4178
1,792,-0.287,4640
1,793,-0.037,3914
1,794,0.744,4581
1,795,-0.594,5013
1,796,0.267,3828
1,797,-0.149,4108
1,798,0.074,4266
1,799,-0.505,4653
1,800,-0.031,4446
1,801,-0.002,3787
1,802,-0.339,4492
1,803,0.172,4153
1,804,0.226,4244
1,805,0.045,4298
1,806,0.036,4659
1,807,-0.325,4584
1,808,0.297,4771
1,809,0.301,4526
1,810,0.265,3967
1,811,0.221,4270
1,812,0.241,4120
1,813,0.133,4714
1,814,-0.082,4365
1,815,-0.308,4263
1,816,0.371,4531
1,817,-0.155,4418
1,818,-0.572,4899
1,819,-0.051,4218
1,820,-1.129,5333
1,821,-0.117,4594
1,822,0.402,4965
1,823,-0.020,3623
1,824,0.922,5255
1,825,0.659,4811
1,826,0.499,4546
1,827,0.006,3709
1,828,-0.570,4414
1,829,0.171,4103
1,830,-0.224,4704
1,831,0.299,4242
1,832,0.027,4027
1,833,0.152,4303
1,834,0.161,4247
1,835,0.104,4260
1,836,-0.135,4438
1,837,-0.144,4353
1,838,-0.170,4052
1,839,0.603,4884
1,840,-0.480,4515
1,841,0.480,4145
1,842,-0.353,4324
1,843,-0.157,3814
1,844,-0.180,4681
1,845,-0.006,3843
1,846,0.456,4001
1,847,-0.071,3739
1,848,0.201,3808
1,849,-0.064,4149
1,850,0.659,5290
1,851,-0.364,4493
1,852,-0.284,4806
1,853,0.486,4516
1,854,-0.125,3917
1,855,-0.009,3884
1,856,0.659,4419
1,857,0.200,4772
1,858,-0.210,4810
1,859,-0.468,4951
1,860,0.130,4110
1,861,-0.225,4340
1,862,0.244,3824
1,863,0.119,4475
1,864,0.172,3931
1,865,0.032,3719
1,866,0.956,5165
1,867,-0.063,4282
1,868,0.047,4267
1,869,0.343,4965
1,870,0.306,4401
1,871,-0.315,3889
1,872,0.087,4034
1,873,-0.750,4627
1,874,0.238,3907
1,875,-0.421,4027
1,876,-0.078,4489
1,877,-0.429,4862
1,878,-0.098,4538
1,879,-0.064,3746
1,880,0.204,4770
1,881,0.200,4850
1,882,-0.484,5089
1,883,-0.550,4570
1,884,0.842,5062
1,885,-0.530,4191
1,886,-0.395,5000
1,887,0.155,4763
1,888,-0.150,4501
1,889,-0.220,4476
1,890,-0.008,3706
1,891,-0.497,4389
1,892,0.567,4124
1,893,0.133,4496
1,894,0.275,4415
1,895,0.117,4566
1,896,-0.131,3882
1,897,0.236,4099
1,898,-0.455,4773
1,899,0.111,4368
1,900,0.087,4493
1,901,-0.430,4181
1,902,0.035,3613
1,903,-0.238,4200
1,904,0.617,4517
1,905,-0.410,4844
1,906,-0.505,4141
1,907,-0.140,4578
1,908,0.493,4896
1,909,0.074,4044
1,910,0.143,4558
1,911,-0.049,4378
1,912,0.126,3993
1,913,0.071,4199
1,914,1.026,4932
1,915,0.284,4300
1,916,0.137,3742
1,917,-0.232,4162
1,918,-0.018,4080
1,919,-0.717,5040
1,920,-0.222,3778
1,921,-0.097,3792
1,922,0.072,4672
1,923,0.165,4279
1,924,0.285,4241
1,925,1.110,4702
1,926,0.037,3742
1,927,0.278,4435
1,928,0.286,3914
1,929,-0.348,4855
1,930,0.124,4005
1,931,0.216,4512
1,932,0.090,4161
1,933,0.966,4829
1,934,-0.634,4733
1,935,0.226,3978
1,936,-0.045,4385
1,937,0.103,4751
1,938,-0.325,4911
1,939,-0.143,4209
1,940,0.324,4091
1,941,-0.225,4731
1,942,-0.297,3879
1,943,-0.374,4282
1,944,0.218,4637
1,945,0.473,4358
1,946,0.402,4401
1,947,0.426,4020
1,948,-0.665,4913
1,949,0.256,4047
1,950,-0.210,4088
1,951,0.845,5281
1,952,0.049,3964
1,953,0.720,4810
1,954,0.236,4108
1,955,0.158,4790
1,956,-0.278,4108
1,957,0.149,4581
1,958,-0.200,4737
1,959,-0.497,4753
1,960,0.152,4756
1,961,-0.430,4138
1,962,-0.259,4343
1,963,0.282,4379
1,964,0.740,4697
1,965,-0.113,3734
1,966,0.134,4144
1,967,-0.621,4205
1,968,0.164,4242
1,969,-0.277,4024
1,970,-0.645,5021
1,971,0.372,4970
1,972,-0.145,4461
1,973,0.112,4394
1,974,0.242,4011
1,975,0.728,5169
1,976,0.065,3884
1,977,0.148,4030
1,978,0.487,4747
1,979,0.002,3678
1,980,-0.009,4544
1,981,-0.177,4359
1,982,0.500,4839
1,983,0.623,4860
1,984,0.308,4161
1,985,-0.295,4004
1,986,-0.177,3996
1,987,0.052,3688
1,988,-0.003,4396
1,989,-0.441,4273
1,990,0.315,3843
1,991,0.580,5008
1,992,0.282,4470
1,993,0.147,3899
1,994,-0.233,3755
1,995,0.007,4422
1,996,-0.175,3796
1,997,-0.019,3546
1,998,-0.069,4348
1,999,-0.048,3903
1,1000,0.525,4858
1,1001,0.117,4028
1,1002,0.416,4216
1,1003,-0.124,4346
1,1004,0.081,3674
1,1005,0.512,4362
1,1006,-0.067,4617
1,1007,0.317,4374
1,1008,-0.587,4966
1,1009,0.326,4407
1,1010,0.232,4342
1,1011,-0.331,4849
1,1012,0.128,3625
1,1013,0.255,4917
1,1014,-0.137,4270
1,1015,0.279,4118
1,1016,-0.088,4536
1,1017,-0.231,4724
1,1018,0.174,3867
1,1019,0.416,4448
1,1020,-0.288,4438
1,1021,0.421,4437
1,1022,0.586,5123
1,1023,-0.126,3817
1,1024,0.189,4498
1,1025,0.693,4221
1,1026,-0.377,4535
1,1027,-0.636,4323
1,1028,-0.277,4476
1,1029,0.248,3777
1,1030,-0.523,4642
1,1031,-0.240,4774
1,1032,0.582,5008
1,1033,0.191,4015
1,1034,-0.279,3868
1,1035,0.364,4468
1,1036,0.217,4647
1,1037,-0.115,4627
1,1038,-0.211,4533
1,1039,1.296,5878
1,1040,0.085,4510
1,1041,0.625,4646
1,1042,-0.354,4393
1,1043,0.005,3943
1,1044,-0.131,4250
1,1045,0.286,4060
1,1046,-0.480,5023
1,1047,-0.056,4221
1,1048,0.388,4701
1,1049,-0.060,3996
1,1050,-0.430,4395
1,1051,0.232,4813
1,1052,-0.178,4253
1,1053,0.172,4466
1,1054,-0.047,4495
1,1055,0.355,4388
1,1056,-0.887,4911
1,1057,0.341,4635
1,1058,-0.542,5067
1,1059,-0.595,4601
1,1060,-0.171,4213
1,1061,-0.944,4936
1,1062,0.219,4826
1,1063,0.577,4286
1,1064,0.054,4365
1,1065,0.037,3766
1,1066,-0.265,4100
1,1067,-0.057,4358
1,1068,0.134,3723
1,1069,0.029,3996
1,1070,0.274,4411
1,1071,-0.205,4343
1,1072,0.354,4518
1,1073,0.177,4412
1,1074,-0.285,4946
1,1075,-0.422,4059
1,1076,-0.071,4342
1,1077,0.530,4221
1,1078,0.183,3698
1,1079,0.011,4127
1,1080,0.402,4645
1,1081,0.057,4610
1,1082,-0.318,4335
1,1083,0.301,4824
1,1084,0.207,4185
1,1085,0.173,3919
1,1086,-0.128,4409
1,1087,-0.947,5043
1,1088,-0.382,4227
1,1089,0.016,4091
1,1090,-0.071,4174
1,1091,0.031,3952
1,1092,0.045,4495
1,1093,0.368,3942
1,1094,0.271,4033
1,1095,0.125,4772
1,1096,0.071,4691
1,1097,0.553,4327
1,1098,-0.241,3834
1,1099,-0.142,3699
1,1100,0.296,4284
1,1101,-0.027,4404
1,1102,0.183,3682
1,1103,0.339,3896
1,1104,0.153,4086
1,1105,0.199,4530
1,1106,0.380,4436
1,1107,0.226,3901
1,1108,-0.062,3731
1,1109,-0.560,4920
1,1110,-0.753,4500
1,1111,0.041,4603
1,1112,0.025,3739
1,1113,-0.023,4636
1,1114,0.211,4248
1,1115,-0.014,4282
1,1116,-0.473,5131
1,1117,0.503,5135
1,1118,-0.086,4023
1,1119,0.473,4291
1,1120,-0.207,4721
1,1121,0.408,4198
1,1122,-1.071,5113
1,1123,-0.244,4386
1,1124,0.692,4292
1,1125,-0.022,4343
1,1126,-0.045,4413
1,1127,-0.235,4056
1,1128,0.057,3812
1,1129,-0.164,3705
1,1130,-0.157,4371
1,1131,-0.842,4589
1,1132,-0.096,4410
1,1133,-0.652,5054
1,1134,0.138,3753
1,1135,0.145,4694
1,1136,-0.295,4390
1,1137,-0.367,4201
1,1138,-0.821,4394
1,1139,0.118,4068
1,1140,-0.289,4590
1,1141,-0.674,4485
1,1142,-0.063,3692
1,1143,-0.224,3851
1,1144,-0.788,5421
1,1145,-0.603,4314
1,1146,-0.173,4322
1,1147,0.139,4593
1,1148,0.445,4546
1,1149,-0.856,5217
1,1150,-0.658,5097
1,1151,-0.732,4391
1,1152,-0.478,4357
1,1153,0.209,3711
1,1154,0.951,4981
1,1155,-0.265,4526
1,1156,-0.266,4217
1,1157,-0.529,4785
1,1158,0.430,4840
1,1159,0.076,4177
1,1160,-0.074,4719
1,1161,-0.702,4249
1,1162,-0.285,4091
1,1163,-0.446,4329
1,1164,-0.350,4986
1,1165,-0.112,4091
1,1166,-0.424,5009
1,1167,0.002,3898
1,1168,-0.314,3816
1,1169,-0.024,4413
1,1170,0.108,4237
1,1171,-0.459,5045
1,1172,-0.358,4213
1,1173,-0.093,3876
1,1174,-0.430,4678
1,1175,0.335,4997
1,1176,0.115,4374
1,1177,0.073,4195
1,1178,-0.097,3865
1,1179,0.161,3742
1,1180,-0.068,3833
1,1181,-0.469,4743
1,1182,-0.047,3669
1,1183,0.271,4701
1,1184,0.570,4834
1,1185,-0.272,4104
1,1186,0.446,5011
1,1187,0.179,3910
1,1188,-0.354,4623
1,1189,-0.332,4709
1,1190,-0.613,4695
1,1191,-0.232,4032
1,1192,-0.245,4073
1,1193,0.093,4635
1,1194,-0.215,3863
1,1195,0.695,4685
1,1196,0.307,4344
1,1197,-0.353,4362
1,1198,-0.056,4632
1,1199,0.245,4686
1,1200,0.048,4679
