pno	dno	pname	pcontent	pcompany	pprice	pcount
26	7	아침에주스_사과	서울우유에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	서울우유	2400	6
27	7	아몬드브리즈	매일유업에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	매일유업	3900	7
28	7	차오코코넛밀크	차오코코넛에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	차오코코넛	9900	
29	7	국산콩두유	정식품에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	정식품	3900	4
30	7	보리차진액	광동제약에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	광동제약	27900	6
31	8	바나나	Dole에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	Dole	5900	1
32	8	고당도오렌지	썬키스트에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	썬키스트	15900	15
33	8	수박	브랜드없음에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	브랜드없음	12900	5
34	8	키위	제스프리에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	제스프리	7900	8
35	8	블루베리	브랜드없음에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	브랜드없음	15900	4
36	8	포도	델몬트에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	델몬트	19900	6
37	8	토마토	브랜드없음에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	브랜드없음	5900	11
38	8	멜론	브랜드없음에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	브랜드없음	3900	9
39	8	파인애플	Dole에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	Dole	3900	14
40	8	망고	Dole에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	Dole	5900	1
41	8	과일컵	해태제과에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	해태제과	29900	4
42	8	상주곶감	제주삼다수에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	제주삼다수	3900	9
43	8	레몬	썬키스트에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	썬키스트	15900	
44	8	황도	브랜드없음에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	브랜드없음	19900	12
45	8	참외	성주참외에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	성주참외	29900	10
46	3	도브바디워시	유니레버에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	유니레버	8900	15
47	3	비플레인_녹두클렌징폼	피죤에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	피죤	8900	1
48	3	폰즈_클리어쉐이스	유니레버에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	유니레버	15900	3
49	3	도도클렌징_바디워시	애경산업에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	애경산업	8900	12
50	3	일리윤_히알루론모이스춰크림	아모레퍼시픽에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	아모레퍼시픽	5900	12
51	3	바세린	유니레버에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	유니레버	15900	9
52	3	밀크바오밥_바디워시	태남생활건강에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	태남생활건강	15900	11
53	3	일리윤_프레쉬모이스춰바디워시	태남생활건강에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	태남생활건강	3900	9
54	3	딤맥스_클렌징폼	LG생활건강에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG생활건강	8900	9
55	3	발각질제거기	동아제약에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	동아제약	23900	14
56	3	바스로앙_입욕제	LG생활건강에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG생활건강	15900	9
57	3	섬유탈취제	피죤에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	피죤	15900	7
58	3	물티슈	유한킴벌리에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	유한킴벌리	19900	14
59	3	블루칩	아모레퍼시픽에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	아모레퍼시픽	9900	7
60	3	미스트	LG생활건강에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG생활건강	8900	11
61	4	홈스타_곰팡이제거제	헨켈에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	헨켈	19900	
62	4	프릴_주방세제	애경산업에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	애경산업	19900	2
63	4	홈스타_세조클리닉	LG생활건강에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG생활건강	6900	5
64	4	홈스타_매직평	LG생활건강에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG생활건강	4900	9
65	4	홈스타_핑크파워	테팔에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	테팔	5900	14
66	4	트리오	P&G에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	P&G	4900	14
67	4	뚫어뻥	LG생활건강에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG생활건강	8900	14
68	4	홈스타_Max_세정클리너	쿠팡 PB에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	쿠팡 PB	12900	14
69	4	탐사락스	유한락스에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	유한락스	5900	2
70	4	락스와세제	애경산업에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	애경산업	6900	9
71	4	탐사_주방세제	LG생활건강에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG생활건강	6900	15
72	4	베이킹소다	Method에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	Method	29900	8
73	4	method_주방세제리필	라인프렌즈에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	라인프렌즈	19900	3
74	4	레인보우샵_베이킹소다	유한양행에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	유한양행	45900	8
75	4	변기세정제	유한킴벌리에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	유한킴벌리	8900	1
76	5	크리넥스_소프트화장지	유한킴벌리에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	유한킴벌리	15900	13
77	5	리큐_프리미엄3겹	쌍용C&B에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	쌍용C&B	3900	15
78	5	코디_라벤더	샤오미에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	샤오미	9900	13
79	5	코멧_미니각티슈	산리오에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	산리오	5900	2
80	5	헬로키티_휴지	송월타월에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	송월타월	15900	9
81	5	펄프_키친타올	쿠팡 PB에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	쿠팡 PB	7900	8
82	5	탐사_물티슈	맘스럽에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	맘스럽	12900	4
83	5	탐사_핸드타올	크린센스에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	크린센스	3900	11
84	5	포켓티슈	유한킴벌리에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	유한킴벌리	6900	14
85	5	크리넥스_여행용티슈	깨끗한나라에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	깨끗한나라	3900	11
86	5	물티슈_캡형	쿠팡 PB에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	쿠팡 PB	15900	11
87	5	템포_화장지	유한킴벌리에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	유한킴벌리	15900	6
88	5	크리넥스_실크소프트	깨끗한나라에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	깨끗한나라	7900	9
89	5	미니미니티슈	깨끗한나라에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	깨끗한나라	12900	15
90	5	오프라이스_3겹화장지	대림바스에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	대림바스	3900	3
91	1	HDMI_분배기	샤오미에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	샤오미	29900	9
92	1	이동식TV거치대	삼성전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	삼성전자	189000	6
93	1	55인치TV	카멜마운트에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	카멜마운트	45900	1
94	1	TV브라켓	넥시에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	넥시	45900	8
95	1	동축케이블	삼성전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	삼성전자	459000	11
96	1	QLED_TV	Anycast에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	Anycast	21900	1
97	1	무선미러링동글	삼성전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	삼성전자	459000	3
98	1	노트북테이블	LG전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG전자	1290000	15
99	1	빔프로젝터	필립스에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	필립스	119000	8
100	1	홈캠스탠드	한샘에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	한샘	59900	12
101	1	셋톱박스 거치대	삼성전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	삼성전자	1290000	11
102	1	MiniLED_TV	LG전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG전자	459000	1
103	1	캠핑용휴대용빔프로젝터	이케아에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	이케아	5900	4
104	1	선반거치대	Anycast에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	Anycast	45900	11
105	1	무선디스플레이동글	신일전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	신일전자	45900	12
106	2	미니세탁기	LG전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG전자	229000	8
107	2	세탁기	LG전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG전자	299000	10
108	2	세탁기배수호스	삼성전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	삼성전자	189000	8
109	2	LG_트롬세탁기	LG전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG전자	229000	6
110	2	건조기필터	한샘에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	한샘	45900	10
111	2	세탁기커플링	삼성전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	삼성전자	189000	7
112	2	통풍스토퍼	신일전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	신일전자	159000	3
113	2	비스카_미니세탁기	LG전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG전자	299000	4
114	2	신발건조기	삼성전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	삼성전자	129000	8
115	2	라비킷_스타일킷	쿠쿠전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	쿠쿠전자	79900	14
116	2	의류건조기	위닉스에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	위닉스	45900	3
117	2	호스후크	LG전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	LG전자	459000	13
118	2	휴대용의류건조기	신일전자에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	신일전자	29900	11
119	2	접이식세탁기	필립스에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	필립스	59900	11
120	2	4방향신발건조기	샤오미에서 제조 또는 판매하는 인기 제품입니다. 실생활에서 편리하게 사용할 수 있도록 제작되었으며, 합리적인 구성과 실용성으로 많은 소비자들에게 인기가 있습니다.	샤오미	29900	2
