hno	ono	hName	ratno	rno	ano	x	y	explanation
34	38	호텔피제이	1	1,2,3,4,5	14	350	280	커플을 위한 로맨틱한 호텔로 특별한 순간을 만드세요.
35	5	머큐어서울앰베서더강남쏘도베	2	1,2,3,4,5	24	450	350	고풍스러운 호텔 바에서 정통 칵테일을 즐기세요.
36	13	해밀톤호텔	1	1,2,3,4,5	18	750	510	독특한 아키텍처와 인테리어로 호텔 내 예술을 감상하세요.
37	24	베니키아프리미어브릿지호텔	2	1,2,3,4,5	9	610	100	호텔 라운지에서 라이브 음악과 칵테일을 즐길 수 있습니다.
38	48	라마다프라자호텔	1	1,2,3,4,5	16	520	350	미니 빈티지 라이브러리가 있는 호텔로 독서를 즐기세요.
39	41	호텔미란다	4	1,2,3	6	655	380	호텔 내 수영장 바에서 상쾌한 음료를 마시며 여유를 즐기세요.
40	5	호텔캐슬	4	1,2,3	19	170	445	호텔 정원에서 피크닉과 야외 활동을 즐기세요.
41	3	호텔에어포트	2	1,2,3,4,5	17	520	290	방에서 멋진 도시 스카이라인을 감상하세요.
42	28	하버파크호텔	4	1,2,3	18	770	500	호텔 내 골프 코스와 테니스 코트로 활동적인 휴가를 즐기세요.
43	37	호텔인터내셔널	5	1,2	15	480	550	편안한 침대와 고풍스러운 욕실로 편안한 휴식을 제공합니다.
44	17	코트야드바이메리어트서울	1	1,2,3,4,5	19	220	380	유럽 양식의 레스토랑에서 현지 맛을 만나보세요.
45	3	더스위트호텔	4	1,2,3	2	760	410	호텔 정원에서 생태 관광과 자연을 탐험하세요.
46	9	더클래식500펜타즈	4	1,2,3	16	585	390	호텔 내 워터 파크와 아쿠아 리조트로 가족 물놀이를 즐기세요.
47	4	노보텔앰배서더 서울	3	1,2,3,4	25	680	280	오래된 역사적인 건물에서 고요한 분위기를 느껴보세요.
48	18	포포인츠 바이 쉐라톤	5	1,2	9	630	180	호텔 레스토랑에서 장작으로 구워진 피자를 즐기세요.
49	27	더 디자이너스	4	1,2,3	3	490	150	방에서 바라보는 산과 계곡의 아름다운 경치를 감상하세요.
50	43	드래곤밸리호텔	3	1,2,3,4	25	630	260	호텔 내 무료 자전거 대여로 주변 지역을 탐험하세요.
51	38	소테츠호텔즈 더 스프라지르	4	1,2,3,5	4	70	300	모던한 디자인과 인테리어로 감각적인 분위기를 즐기세요.
52	13	나이아가라호텔	4	1,2,3,4	2	750	340	호텔의 테라스에서 일몰과 별을 감상하세요.
53	46	글래드 여의도	1	1,2,3,4,5	11	590	320	가정적인 분위기와 홈메이드 아침 식사로 편안한 머무름을 경험하세요.
54	9	뉴국제호텔	4	1,2,3,4	18	780	490	헬스 클럽과 요가 스튜디오로 건강한 휴가를 즐기세요.
55	13	레이크관광호텔	2	1,2,3,4,5	21	410	440	호텔 내 루프탑 테라스에서 도시의 아름다운 야경을 감상하세요.
56	36	메트로호텔	3	1,2,3,4	24	500	360	책과 예술을 사랑하는 여행자를 위한 독특한 호텔입니다.
57	25	뉴서울호텔	3	1,2,3,4,5	25	640	300	호텔 내 레크리에이션 시설로 활기찬 휴가를 즐기세요.
58	20	사보이호텔	1	1,2,3,4,5	8	280	580	도심 호텔로 도보로 모든 명소를 편리하게 돌아다니세요.
59	17	이비스앰배서더명동호텔	2	1,2,3,4	20	270	470	호텔 라운지에서 현지 칵테일과 타파스를 즐기세요.
60	35	호텔선샤인	2	1,2,3,4,5	5	300	550	도심 뷰를 감상할 수 있는 객실로 도시의 활력을 느껴보세요.
61	1	이비스스타일앰배서더강남	4	1,2,3,4	21	460	400	호텔 내 아트 갤러리와 전시물로 예술과 문화를 즐길 수 있습니다.
62	32	아리랑관광호텔	3	1,2,3,4,5	6	660	330	유럽 양식의 역사적인 호텔로 전통적인 분위기를 느낄 수 있습니다.
63	50	호텔카리스	2	1,2,3,4,5	23	430	200	농장과 연계된 호텔로 신선한 농산물을 즐길 수 있습니다.
64	23	호텔갤러리	1	1,2,3,4,5	21	420	390	비치 프런트 호텔로 모래 바닷물과 가까운 휴가를 즐길 수 있습니다.
65	18	호텔소그노	2	1,2,3,4,5	16	590	360	호텔 라운지에서 신선한 칵테일과 음악을 즐기세요.
66	12	호텔코리아	1	1,2,3,4,5	4	220	350	각 방마다 개별 수영장과 정원이 있는 프라이빗 빌라로 휴식을 즐기세요.
67	16	그랜드호텔	3	1,2,3,4,5	11	580	305	역사적인 건물을 개조한 독특한 호텔로 독특한 분위기를 제공합니다.
68	30	센트럴관광호텔	3	1,2,3,4,5	11	530	300	문화 명소와 레스토랑에 가까운 도심 호텔로 편리한 위치입니다.
69	26	샹그리아비치관광호텔	2	1,2,3,4,5	25	640	230	호텔 내 카지노와 엔터테인먼트 시설로 놀이와 환대를 경험하세요.
70	43	무등파크호텔	4	1,2,3,4	21	390	380	호텔의 프라이빗 비치에서 일몰을 감상하세요.
71	21	파레스관광호텔	3	1,2,3,4	15	450	500	안정적인 Wi-Fi와 현대적인 비즈니스 시설로 비즈니스 여행객에게 이상적입니다.
72	11	피렌체호텔	2	1,2,3,4	17	430	170	호텔 내 골프 코스와 스포츠 시설로 활동적인 휴가를 즐기세요.
73	7	베스트웨스턴프리미어서울	5	1,2	16	570	330	마운틴 뷰 객실로 자연 경치를 감상하세요.
74	35	호텔포레	2	1,2,3,4,5	18	690	480	호텔의 역사적인 매력과 아키텍처는 독특한 경험을 제공합니다.
75	39	이비스앰배서더서울인사동	2	1,2,3,4	6	630	360	호텔 레스토랑에서 국제 요리와 현지 특산물을 맛볼 수 있습니다.
76	37	신라스테이역삼	1	1,2,3,4,5	14	330	335	헬스 클럽과 스파 시설이 완비된 호텔로 휴식과 건강 관리에 최적입니다.
77	7	신라스테이동탄	2	1,2,3,4,5	6	630	390	호텔 내 컨퍼런스 센터와 이벤트 공간으로 비즈니스 행사를 주최하기에 이상적입니다.
78	8	마이다스관광호텔	5	1,2	18	690	410	컨퍼런스와 이벤트 시설이 탁월하게 갖춰진 비즈니스 호텔입니다.
79	40	프라다관광호텔	5	1,2	24	405	340	호텔 레스토랑은 현지 특산물을 활용한 창의적인 메뉴를 제공합니다.
80	17	에이퍼스트명동	2	1,2,3,4,5	5	420	530	바다와 가까운 빌라로 특별한 해변 휴가를 즐기세요.
81	41	베니키아 프리미어 호텔 베르누이	5	1,2,3	24	470	350	친환경 정책으로 지속 가능한 여행을 실천하는 호텔입니다.
82	2	나인브릭	1	1,2,3,4,5	3	520	210	호텔 내 아트 갤러리와 전시물로 예술과 문화를 즐길 수 있습니다.
83	15	솔라리아 니시테츠 호텔 서울 명동	2	1,2,3,4,5	9	640	180	유럽 양식의 역사적인 호텔로 전통적인 분위기를 느낄 수 있습니다.
84	17	호텔 그레이스리 서울	5	1,2,3	1	670	550	농장과 연계된 호텔로 신선한 농산물을 즐길 수 있습니다.
85	50	종로크라운관광호텔	1	1,2,3,4,5	1	570	450	비치 프런트 호텔로 모래 바닷물과 가까운 휴가를 즐길 수 있습니다.
86	47	힐탑관광호텔	5	1,2,3,5		99	38	350	호텔 라운지에서 신선한 칵테일과 음악을 즐기세요.
87	33	프린스관광호텔	1	1,2,3,4,5	16	570	380	각 방마다 개별 수영장과 정원이 있는 프라이빗 빌라로 휴식을 즐기세요.
88	1	쉘부르관광호텔	2	1,2,3,4,5	21	470	400	역사적인 건물을 개조한 독특한 호텔로 독특한 분위기를 제공합니다.
89	18	럭키관광호텔	1	1,2,3,4,5	25	670	290	문화 명소와 레스토랑에 가까운 도심 호텔로 편리한 위치입니다.
90	1	남산관광호텔	1	1,2,3,4,5	18	760	495	호텔 내 카지노와 엔터테인먼트 시설로 놀이와 환대를 경험하세요.
91	41	호텔한성	3	1,2,3,4	9	600	55	호텔의 프라이빗 비치에서 일몰을 감상하세요.
92	37	베니키아한성호텔	4	1,2,3,4	4	90	330	안정적인 Wi-Fi와 현대적인 비즈니스 시설로 비즈니스 여행객에게 이상적입니다.
93	33	베니키아프레스호텔	1	1,2,3,4,5	15	620	500	호텔 내 골프 코스와 스포츠 시설로 활동적인 휴가를 즐기세요.
94	27	MS호텔(달곁에별호텔)	1	1,2,3,4,5	7	150	520	마운틴 뷰 객실로 자연 경치를 감상하세요.
95	49	베니키아 더 블리스 호텔	5	1,2,3	23	460	300	호텔의 역사적인 매력과 아키텍처는 독특한 경험을 제공합니다.
96	15	서울YMCA호텔	2	1,2,3,4,5	2	740	350	호텔 레스토랑에서 국제 요리와 현지 특산물을 맛볼 수 있습니다.
97	31	세비야관광호텔	3	1,2,3,4	3	470	110	헬스 클럽과 스파 시설이 완비된 호텔로 휴식과 건강 관리에 최적입니다.
98	21	센트럴관광호텔(명동)	2	1,2,3,4,5	9	620	130	호텔 내 컨퍼런스 센터와 이벤트 공간으로 비즈니스 행사를 주최하기에 이상적입니다.
99	12	발리관광호텔	5	1,2,3	14	370	300	컨퍼런스와 이벤트 시설이 탁월하게 갖춰진 비즈니스 호텔입니다.
100	10	폭스관광호텔	4	1,2,3,4	13	360	370	호텔 레스토랑은 현지 특산물을 활용한 창의적인 메뉴를 제공합니다.
