reno	rvno	review	score
28	4981	방이랑 수영장 모두 좋았어요!!	5
29	227	바다 좋아하는 사람은 파셜오션? 노노(룸이 바다쪽에 다가가지않는 이상 씨마크쪽이 더 많이보임..) 오션!!	3
30	3268	동선이 좋아서 자주 이용하는 곳이예요. 환경을 생각 하는 호텔이라 더 마음에 듭니다.	6
31	2056	호텔 아니여도 근처에 먹을 만한 곳이 많아사 근처에서 밥먹고 산책가고 호텔 시성 즐기고 너무 좋아용	5
32	4496	그냥 호텔만 보면 깨끗하고 넓고 바다 가깝고 좋아요	3
33	3460	사진이랑 다르게 생각보다 좋았어요~	4
34	3767	직원분들도 엄청 친절하세요	5
35	122	서울타워 야경맛집	5
36	4862	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
37	4836	친절합니다. 	4
38	4580	직원들이 친절하지가 않네요.	2
39	4708	체크인이 불편한것 빼고는 만족했습니다	3
40	2770	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
41	1172	훌륭한 숙소입니다.	5
42	2881	오션뷰가 아닌 논뷰도 푸릇하고 좋더라구여	5
43	3399	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
44	4694	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
45	2519	청결상태에 조금 더 신경 써주시길 바랍니다.	3
46	122	체크인이 불편한것 빼고는 만족했습니다	3
47	4961	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
48	652	룸이 작고 샤워실이 투명이라 좀 불편하긴 합니다. 룸 사이즈는 캐리어 두 개도 펼치기 힘들 정도예요. 침대는 너무 좋아서 혼자 묵긴 좋은 곳이라고 느꼈어요. 넷플릭스 기기는 오후 늦게 들어가니 전부 대여 완료.. 그냥 룸마다 설치해 두고 요금을 더 받으시는 게. 아무튼 미리미리 대여해 두세요.	3
49	963	직원분들도 엄청 친절하세요	5
50	2223	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
51	508	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
52	3826	수영장 등 부대시설 있을건 다 있구 해변 접근성도 좋습니다.	5
53	4055	1층에 편의점,주류매장,치킨집있어서 포장해서 룸안에서 먹었어요! 편해요!!	5
54	85	서울타워 야경맛집	5
55	3599	강아지도 많이 데려오시더라구요. 세면도구는 챙겨가셔야 합니당	5
56	1738	실내 온도조절이 안되고, 따뜻한 물이 시간대별로 나와서 불편합니다.	1
57	3761	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
58	4686	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
59	3031	잘 쉬다갑니당!	5
60	604	역 바로앞에 있어 교통 편리성도 좋고,숙소도 좁은건 맞지만 숙소가 깔끔하며 조식도 맛있어요!!ㅎㅎ 추천합니다^-^	5
61	751	직원들이 친절하지가 않네요.	3
62	3599	직원들이 친절하지가 않네요.	3
63	3125	출장중에 가성비 좋게 이용했습니다. 주차 편리하였고 위치가 좋았습니다.	4
64	4466	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
65	1571	뭐라 할 건 없는데 조금 그렇네요	4
66	1987	위치, 장소, 서비스, 룸 컨디션 모두 좋아요. 다만 화장실이 방음이 전혀안되서 예민하신분들은 신경쓰이실듯 합니다.	5
67	3292	잘 쉬다 갑니다.	5
68	3955	방이 깔끔해서 마음에 듭니다	5
69	3369	오션뷰가 아니라 아쉬웠지만 바다 앞이라 놀기 좋았습니다~~!	3
70	2247	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
71	3857	좋은 추억 가지고 갑니다.	4
72	663	강아지도 많이 데려오시더라구요. 세면도구는 챙겨가셔야 합니당	5
73	4880	직원분이 푹신하고 침대가 친절해요	5
74	1917	너무 좋았어요! 다음에도 또 오고싶네요	5
75	150	최고네요!!	5
76	1290	룸서비스(음식류) 안되는 것 제외하고는 강릉에서 손꼽는 편의성을 갖춘 호텔(가성비듀 쥬아여)	4
77	4759	다만 방음이 좀 안되는게 아쉬웠어요	4
78	2190	건물 복잡해요	1
79	2804	역 바로앞에 있어 교통 편리성도 좋고,숙소도 좁은건 맞지만 숙소가 깔끔하며 조식도 맛있어요!!ㅎㅎ 추천합니다^-^	5
80	720	적당합니다.	3
81	3805	잘 쉬다 갑니다.	5
82	2797	가족들고 즐거운 시간 ^^	5
83	1197	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
84	3194	프론트 직원이 너무 친절하지 않아요.	2
85	2605	글쎄요, 좋은 거 같은데 이 정도면..	3
86	841	적당합니다.	3
87	4668	글쎄요, 좋은 거 같은데 이 정도면..	3
88	4858	방이 깔끔해서 마음에 듭니다	5
89	4245	시설이 깔끔했어요	5
90	1432	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
91	2224	동선이 좋아서 자주 이용하는 곳이예요. 환경을 생각 하는 호텔이라 더 마음에 듭니다.	6
92	3417	그냥 평범했어요	3
93	903	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
94	1051	직원분이 푹신하고 침대가 친절해요	5
95	559	체크인이 불편한것 빼고는 만족했습니다	3
96	3693	글쎄요, 좋은 거 같은데 이 정도면..	3
97	1914	뭐라 할 건 없는데 조금 그렇네요	4
98	3442	체크인이 불편한것 빼고는 만족했습니다	3
99	955	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
100	1833	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
101	1800	직원들이 친절하지가 않네요.	3
102	2156	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
103	1594	친절합니다. 	4
104	518	직원분이 푹신하고 침대가 친절해요	5
105	4214	친절합니다. 	4
106	4061	오션뷰 진짜 너무 좋아요!!	5
107	4906	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
108	2098	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
109	1988	좋은 추억 가지고 갑니다.	4
110	4639	룸서비스(음식류) 안되는 것 제외하고는 강릉에서 손꼽는 편의성을 갖춘 호텔(가성비듀 쥬아여)	4
111	703	잘 쉬다 가용	5
112	1360	다시는 안갑니다.	1
113	796	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
114	2014	오션뷰 진짜 너무 좋아요!!	5
115	1997	룸서비스(음식류) 안되는 것 제외하고는 강릉에서 손꼽는 편의성을 갖춘 호텔(가성비듀 쥬아여)	4
116	2229	적당적당한 줄 알았더니, 더 좋네요. 생각보다	5
117	991	조식도 먹었는데 17층이라 그런지 강남 뷰 보면서 아주 잘 먹었어요. 담에 또 올거에요~~	5
118	4672	시설이 깔끔했어요	5
119	2945	직원분이 푹신하고 침대가 친절해요	5
120	1401	프론트 직원이 너무 친절하지 않아요.	2
121	3907	서비스, 질 모든 면에서 만족스럽지 않네요.	1
122	571	다 좋은데 객실에 친환경으로 슬리퍼 칫솔치약을 안주는데 슬리퍼만 줬으면 더 좋았을거같아요	4
123	1872	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
124	3734	시설이 깔끔했어요	5
125	2767	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
126	3261	그냥 평범했어요	3
127	752	그냥 평범했어요	3
128	1475	시설도 깨끗하고 위치도 좋아요.	5
129	810	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
130	910	재방문의사있습니다.	5
131	593	직원분들도 엄청 친절하세요	5
132	1386	강아지도 많이 데려오시더라구요. 세면도구는 챙겨가셔야 합니당	5
133	1978	동선이 좋아서 자주 이용하는 곳이예요. 환경을 생각 하는 호텔이라 더 마음에 듭니다.	6
134	707	깨끗하고 침구도 편안해서 잘 쉬다 왔어요 !	5
135	855	건조한거 빼곤 매우만족	3
136	2185	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
137	1080	급히 잡은 숙소였는데 침대도 넓고 좋았어요 ㅎㅎ 에어컨 소음이 좀 있는데 잠깐 틀어놔듀 시원해서 잘땐 끄고 잤어용	4
138	1074	편하게 잘 다녀 왔습니다^^	5
139	4430	오션뷰 진짜 너무 좋아요!!	5
140	2248	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
141	1829	담에는 다른곳 이용하려구요	1
142	1481	직원분이 푹신하고 침대가 친절해요	5
143	2607	서울타워 야경맛집	5
144	2025	잘 쉬다 가용	5
145	2958	방이랑 수영장 모두 좋았어요!!	5
146	3864	청결상태에 조금 더 신경 써주시길 바랍니다.	3
147	451	1층에 편의점,주류매장,치킨집있어서 포장해서 룸안에서 먹었어요! 편해요!!	5
148	305	체크인 도와주시는분이 불친절했고 체크아웃하고 출차하면서 6만원 계산하라고 해서 확인해보니 차량번호도 일부러 잘못등록하신건가 싶었네요	1
149	1831	최고네요!!	5
150	440	청결상태에 조금 더 신경 써주시길 바랍니다.	3
151	2923	다만 방음이 좀 안되는게 아쉬웠어요	4
152	4997	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
153	1092	훌륭한 숙소입니다.	5
154	4015	시설도 깨끗하고 위치도 좋아요.	5
155	398	강아지도 많이 데려오시더라구요. 세면도구는 챙겨가셔야 합니당	5
156	442	사진이랑 다르게 생각보다 좋았어요~	4
157	4244	건물 복잡해요	1
158	92	깨끗해요	3
159	2515	직원들이 친절하지가 않네요.	3
160	3566	예약확인이 안되네요	1
161	3092	직원분들도 엄청 친절하세요	5
162	196	체크인 키오스크로 하니까 금방입니다.	5
163	4081	좋은 추억 가지고 갑니다.	4
164	4005	역 바로앞에 있어 교통 편리성도 좋고,숙소도 좁은건 맞지만 숙소가 깔끔하며 조식도 맛있어요!!ㅎㅎ 추천합니다^-^	5
165	4037	직원분들도 엄청 친절하세요	5
166	4698	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
167	3496	건물 복잡해요	1
168	1341	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
169	2023	조식도 먹었는데 17층이라 그런지 강남 뷰 보면서 아주 잘 먹었어요. 담에 또 올거에요~~	5
170	477	서울타워 야경맛집	5
171	1733	잘 쉬다 가용	5
172	1120	강아지도 많이 데려오시더라구요. 세면도구는 챙겨가셔야 합니당	5
173	936	직원분이 푹신하고 침대가 친절해요	5
174	6	바로앞에 강문해변있어서 산책하기좋아요.	5
175	16	역 바로앞에 있어 교통 편리성도 좋고,숙소도 좁은건 맞지만 숙소가 깔끔하며 조식도 맛있어요!!ㅎㅎ 추천합니다^-^	5
176	2346	다시는 안갑니다.	1
177	3134	서울타워 야경맛집	5
178	3785	화장실에서 냄새가 납니다	2
179	4100	오션뷰가 아니라 아쉬웠지만 바다 앞이라 놀기 좋았습니다~~!	3
180	1129	오션뷰가 아닌 논뷰도 푸릇하고 좋더라구여	5
181	4008	오션뷰가 아니라 아쉬웠지만 바다 앞이라 놀기 좋았습니다~~!	3
182	4405	예약확인이 안되네요	1
183	4150	요즘 따라 점점 별로가 되는 기분인데요. 발전해주시기 바랍니다.	2
184	250	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
185	2422	친절합니다. 	4
186	402	최고네요!!	5
187	1257	최고입니다.123	5
188	3982	좋은 추억 가지고 갑니다.	4
189	4078	동선이 좋아서 자주 이용하는 곳이예요. 환경을 생각 하는 호텔이라 더 마음에 듭니다.	6
190	2416	프론트 직원이 너무 친절하지 않아요.	2
191	2693	사진이랑 다르게 생각보다 좋았어요~	4
192	3289	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
193	3743	그냥 호텔만 보면 깨끗하고 넓고 바다 가깝고 좋아요	3
194	324	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
195	2931	좋은 추억 가지고 갑니다.	4
196	1541	호텔자체는 깔끔했어요. 근데 가격대비 너무 깡통옵션이어서 다음에 또 오는건 고민이 들 듯. 리뷰에서 유명한 체크인 줄서기 경험도 겪고, 무엇보다 뷰가...수영장이 바로 앞이어서 커튼을 열수가 없었어요.	5
197	3139	오션뷰 진짜 너무 좋아요!!	5
198	284	재방문의사있습니다.	5
199	3978	동선이 좋아서 자주 이용하는 곳이예요. 환경을 생각 하는 호텔이라 더 마음에 듭니다.	6
200	2372	깨끗해요	3
201	1363	그냥 평범했어요	3
202	3405	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
203	4717	직원분들도 엄청 친절하세요	5
204	1591	체크아웃 엘베는 저층인분들은 윗층에서 다 타고 내려오니 포기하고 계단이용해야 하는데 캐리어나 유모차는ㅠ	1
205	2296	아주 좋습니다.	5
206	920	체크인 도와주시는분이 불친절했고 체크아웃하고 출차하면서 6만원 계산하라고 해서 확인해보니 차량번호도 일부러 잘못등록하신건가 싶었네요	1
207	1135	직원들이 친절하지가 않네요.	2
208	3199	동선이 좋아서 자주 이용하는 곳이예요. 환경을 생각 하는 호텔이라 더 마음에 듭니다.	6
209	2255	편하게 잘 다녀 왔습니다^^	5
210	485	전화를 잘 받아주세요.	2
211	1781	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
212	2598	다 좋은데 객실에 친환경으로 슬리퍼 칫솔치약을 안주는데 슬리퍼만 줬으면 더 좋았을거같아요	4
213	505	예약방식이 너무 어렵습니다.	1
214	2796	화장실에서 냄새가 납니다	2
215	3657	프론트 직원이 너무 친절하지 않아요.	2
216	3137	호텔 내 주차장 공간이 좀 아쉬웠지만 만족했습니다.^^	3
217	3758	룸이 사진보다 작아서 다소 불편했어요.. 옷장이 없는것도 불편했답니다. 나머진 괜챤아요~ 생각보다 조식이 종류는 많치안았는데 먹을만합니다^^	1
218	3967	방이랑 수영장 모두 좋았어요!!	5
219	1394	"최고!최고!입니다!
잘쉬고가요~~~~"	5
220	3335	체크인이 불편한것 빼고는 만족했습니다	3
221	137	전화를 잘 받아주세요.	2
222	155	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
223	4478	급히 잡은 숙소였는데 침대도 넓고 좋았어요 ㅎㅎ 에어컨 소음이 좀 있는데 잠깐 틀어놔듀 시원해서 잘땐 끄고 잤어용	4
224	3369	뭐라 할 건 없는데 조금 그렇네요	4
225	2544	너무 좋았어요! 다음에도 또 오고싶네요	5
226	2512	예약방식이 너무 어렵습니다.	1
227	3135	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
228	81	잘 쉬다 가용	5
229	4616	서비스, 질 모든 면에서 만족스럽지 않네요.	1
230	3799	잘 쉬다 가용	5
231	810	가족들고 즐거운 시간 ^^	5
232	3262	아주 좋습니다.	5
233	1131	편하게 잘 다녀 왔습니다^^	5
234	1177	오션뷰가 아니라 아쉬웠지만 바다 앞이라 놀기 좋았습니다~~!	3
235	410	적당합니다.	3
236	3066	직원들이 친절하지가 않네요.	3
237	4088	뭐라 할 건 없는데 조금 그렇네요	4
238	1329	훌륭한 숙소입니다.	5
239	920	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
240	754	최고다 이건	5
241	709	출장중에 가성비 좋게 이용했습니다. 주차 편리하였고 위치가 좋았습니다.	4
242	4268	방이랑 수영장 모두 좋았어요!!	5
243	4394	그냥 호텔만 보면 깨끗하고 넓고 바다 가깝고 좋아요	3
244	617	방이 깔끔해서 마음에 듭니다	5
245	1749	출장중에 가성비 좋게 이용했습니다. 주차 편리하였고 위치가 좋았습니다.	4
246	3822	저렴하게 잘 놀다 왔습니다.제방문 의자 있습니다	5
247	2012	전화를 잘 받아주세요.	2
248	3082	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
249	3344	실내 온도조절이 안되고, 따뜻한 물이 시간대별로 나와서 불편합니다.	1
250	4487	서비스, 질 모든 면에서 만족스럽지 않네요.	1
251	251	친절합니다. 	4
252	455	호텔자체는 깔끔했어요. 근데 가격대비 너무 깡통옵션이어서 다음에 또 오는건 고민이 들 듯. 리뷰에서 유명한 체크인 줄서기 경험도 겪고, 무엇보다 뷰가...수영장이 바로 앞이어서 커튼을 열수가 없었어요.	5
253	1375	너무 좋았어요! 다음에도 또 오고싶네요	5
254	3800	깨끗하고 침구도 편안해서 잘 쉬다 왔어요 !	5
255	2829	깨끗해요	3
256	2729	다만 방음이 좀 안되는게 아쉬웠어요	4
257	3313	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
258	2503	좋은 추억 가지고 갑니다.	4
259	2487	청소상태가 매우 깔끔하고, 조식도 종류가 많지 않아도 맛있고, 직원분들은 매우 친절하세요.	5
260	3341	훌륭한 숙소입니다.	5
261	140	체크아웃 엘베는 저층인분들은 윗층에서 다 타고 내려오니 포기하고 계단이용해야 하는데 캐리어나 유모차는ㅠ	1
262	3687	그냥 평범했어요	3
263	1047	깨끗해요	3
264	718	방이 깔끔해서 마음에 듭니다	5
265	4829	룸이 작고 샤워실이 투명이라 좀 불편하긴 합니다. 룸 사이즈는 캐리어 두 개도 펼치기 힘들 정도예요. 침대는 너무 좋아서 혼자 묵긴 좋은 곳이라고 느꼈어요. 넷플릭스 기기는 오후 늦게 들어가니 전부 대여 완료.. 그냥 룸마다 설치해 두고 요금을 더 받으시는 게. 아무튼 미리미리 대여해 두세요.	3
266	4847	훌륭한 숙소입니다.	5
267	593	뭐라 할 건 없는데 조금 그렇네요	4
268	1535	직원들이 친절하지가 않네요.	3
269	2462	청소상태가 매우 깔끔하고, 조식도 종류가 많지 않아도 맛있고, 직원분들은 매우 친절하세요.	5
270	3679	그냥 호텔만 보면 깨끗하고 넓고 바다 가깝고 좋아요	3
271	3800	오션뷰 진짜 너무 좋아요!!	5
272	792	호텔 아니여도 근처에 먹을 만한 곳이 많아사 근처에서 밥먹고 산책가고 호텔 시성 즐기고 너무 좋아용	5
273	458	방이랑 수영장 모두 좋았어요!!	5
274	943	조금 낙후된부분들 레노하면 좋을거같아요	2
275	3956	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
276	4603	최고다 이건	5
277	4680	적당적당한 줄 알았더니, 더 좋네요. 생각보다	5
278	2069	최고입니다.123	5
279	1640	전화를 잘 받아주세요.	2
280	4143	룸이 작고 샤워실이 투명이라 좀 불편하긴 합니다. 룸 사이즈는 캐리어 두 개도 펼치기 힘들 정도예요. 침대는 너무 좋아서 혼자 묵긴 좋은 곳이라고 느꼈어요. 넷플릭스 기기는 오후 늦게 들어가니 전부 대여 완료.. 그냥 룸마다 설치해 두고 요금을 더 받으시는 게. 아무튼 미리미리 대여해 두세요.	3
281	4280	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
282	1282	청결상태에 조금 더 신경 써주시길 바랍니다.	3
283	2778	화장실에서 냄새가 납니다	2
284	924	사진이랑 다르게 생각보다 좋았어요~	4
285	293	친절합니다. 	4
286	3228	다 좋은데 객실에 친환경으로 슬리퍼 칫솔치약을 안주는데 슬리퍼만 줬으면 더 좋았을거같아요	4
287	2188	급히 잡은 숙소였는데 침대도 넓고 좋았어요 ㅎㅎ 에어컨 소음이 좀 있는데 잠깐 틀어놔듀 시원해서 잘땐 끄고 잤어용	4
288	785	친절합니다. 	4
289	1372	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
290	617	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
291	4199	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
292	3423	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
293	1621	예약확인이 안되네요	1
294	1109	글쎄요, 좋은 거 같은데 이 정도면..	3
295	947	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
296	2766	잘 쉬다 갑니다.	5
297	3501	글쎄요, 좋은 거 같은데 이 정도면..	3
298	2754	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
299	1330	최고다 이건	5
300	1852	사진이랑 다르게 생각보다 좋았어요~	4
301	1631	호텔 아니여도 근처에 먹을 만한 곳이 많아사 근처에서 밥먹고 산책가고 호텔 시성 즐기고 너무 좋아용	5
302	3617	좋은 추억 가지고 갑니다.	4
303	4770	깨끗해요	3
304	4540	편하게 잘 다녀 왔습니다^^	5
305	2002	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
306	1621	그냥 호텔만 보면 깨끗하고 넓고 바다 가깝고 좋아요	3
307	2791	방이 깔끔해서 마음에 듭니다	5
308	1547	바다 좋아하는 사람은 파셜오션? 노노(룸이 바다쪽에 다가가지않는 이상 씨마크쪽이 더 많이보임..) 오션!!	3
309	3889	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
310	1126	요즘 따라 점점 별로가 되는 기분인데요. 발전해주시기 바랍니다.	2
311	4899	너무 좋았어요! 다음에도 또 오고싶네요	5
312	815	오션뷰 진짜 너무 좋아요!!	5
313	3631	호텔 내 주차장 공간이 좀 아쉬웠지만 만족했습니다.^^	3
314	3064	잘 쉬다갑니당!	5
315	950	건물 복잡해요	1
316	4486	조식도 먹었는데 17층이라 그런지 강남 뷰 보면서 아주 잘 먹었어요. 담에 또 올거에요~~	5
317	971	재방문의사있습니다.	5
318	2680	재방문의사있습니다.	5
319	2974	오션뷰가 아닌 논뷰도 푸릇하고 좋더라구여	5
320	4685	체크인 도와주시는분이 불친절했고 체크아웃하고 출차하면서 6만원 계산하라고 해서 확인해보니 차량번호도 일부러 잘못등록하신건가 싶었네요	1
321	1672	최고가 된다면 바로 이 호실! 일걸요?	4
322	1488	적당합니다.	3
323	1221	직원들이 친절하지가 않네요.	2
324	3908	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
325	170	친절합니다. 	4
326	4024	최고다 이건	5
327	3529	잘 쉬다 갑니다.	5
328	888	최고네요!!	5
329	4838	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
330	2651	오션뷰가 아니라 아쉬웠지만 바다 앞이라 놀기 좋았습니다~~!	3
331	2079	편하게 잘 다녀 왔습니다^^	5
332	1757	오션뷰가 아니라 아쉬웠지만 바다 앞이라 놀기 좋았습니다~~!	3
333	4746	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
334	3877	뭐라 할 건 없는데 조금 그렇네요	4
335	107	예약확인이 안되네요	1
336	999	룸이 작고 샤워실이 투명이라 좀 불편하긴 합니다. 룸 사이즈는 캐리어 두 개도 펼치기 힘들 정도예요. 침대는 너무 좋아서 혼자 묵긴 좋은 곳이라고 느꼈어요. 넷플릭스 기기는 오후 늦게 들어가니 전부 대여 완료.. 그냥 룸마다 설치해 두고 요금을 더 받으시는 게. 아무튼 미리미리 대여해 두세요.	3
337	2710	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
338	2191	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
339	2203	담에는 다른곳 이용하려구요	1
340	4319	바다 좋아하는 사람은 파셜오션? 노노(룸이 바다쪽에 다가가지않는 이상 씨마크쪽이 더 많이보임..) 오션!!	3
341	2481	서울타워 야경맛집	5
342	1953	직원분이 푹신하고 침대가 친절해요	5
343	1124	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
344	1265	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
345	3653	건물 복잡해요	1
346	2162	직원분이 푹신하고 침대가 친절해요	5
347	2436	예약방식이 너무 어렵습니다.	1
348	1170	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
349	4689	재방문의사있습니다.	5
350	1523	프론트 직원이 너무 친절하지 않아요.	2
351	4190	최고네요!!	5
352	4525	전화를 잘 받아주세요.	2
353	3629	다만 방음이 좀 안되는게 아쉬웠어요	4
354	4251	재방문의사있습니다.	5
355	1673	청결상태에 조금 더 신경 써주시길 바랍니다.	3
356	1044	역 바로앞에 있어 교통 편리성도 좋고,숙소도 좁은건 맞지만 숙소가 깔끔하며 조식도 맛있어요!!ㅎㅎ 추천합니다^-^	5
357	4470	편하게 잘 다녀 왔습니다^^	5
358	3349	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
359	4069	강아지도 많이 데려오시더라구요. 세면도구는 챙겨가셔야 합니당	5
360	3274	깨끗하고 침구도 편안해서 잘 쉬다 왔어요 !	5
361	2373	적당적당한 줄 알았더니, 더 좋네요. 생각보다	5
362	2288	요즘 따라 점점 별로가 되는 기분인데요. 발전해주시기 바랍니다.	2
363	4543	최고가 된다면 바로 이 호실! 일걸요?	4
364	4852	건조한거 빼곤 매우만족	3
365	165	동선이 좋아서 자주 이용하는 곳이예요. 환경을 생각 하는 호텔이라 더 마음에 듭니다.	6
