pno	pname	description	price	sno	cno
45	원목 전신 거울	좁은 방도 넓어 보이게 하는 인테리어 필수템	272000	60	5
46	수납용 리빙박스	철 지난 옷과 이불 정리용 대용량 투명 박스	170000	30	5
47	현관 코일 매트	외부 먼지 유입을 차단하는 세척 간편 매트	179000	117	5
48	패브릭 소파 스툴	보조 의자나 발 받침대로 활용 가능한 가구	15000	81	5
49	인조 식물 화분	물 줄 필요 없는 싱그러운 플랜테리어 조화	174000	54	5
50	LED 데스크 스탠드	5단계 밝기 조절 및 타이머 기능 학습용 조명	76000	72	5
51	무선 핸디 청소기	강력한 흡입력과 가벼운 무게로 틈새 먼지 제거	120000	89	1
52	세라믹 냄비 3종 세트	눌어붙지 않는 세라믹 코팅과 감성 디자인	79000	60	2
53	차량용 공기청정기	헤파필터 장착으로 차 안 미세먼지 완벽 차단	140000	39	4
54	접이식 캠핑 의자	경량 알루미늄 프레임으로 휴대성이 뛰어난 의자	227000	57	7
55	디지털 온습도계	실내 온도와 습도를 확인하는 고정밀 센서	298000	130	4
56	대용량 에어프라이어 7L	생닭 한 마리가 통째로 들어가는 넉넉한 사이즈	25000	117	2
57	자동 센서 쓰레기통	손을 대지 않아도 열리는 위생적인 휴지통	75000	103	5
58	블루투스 셀카봉 삼각대	분리형 리모컨으로 멀리서도 촬영 가능한 삼각대	25000	89	1
59	욕실 실리콘 매트	미끄럼 방지 처리가 되어 안전한 욕실 전용 매트	148000	93	4
60	단백질 쉐이크 보틀	뭉침 없이 잘 섞이는 쉐이커 망 포함 물병	108000	73	7
61	요가 매트 8mm	두툼한 두께로 관절을 보호하는 친환경 TPE 매트	309000	112	7
62	캠핑용 가스 버너	방풍판 일체형으로 화력이 일정한 야외용 버너	248000	131	7
63	미니 믹서기	과일이나 채소를 간편하게 갈아 마시는 1인용 블렌더	48000	79	2
64	스테인리스 텀블러 500ml	우수한 보온 보냉 성능의 이중 진공 구조	59000	129	2
65	벽걸이 무드등 시계	밤에도 잘 보이는 LED 저소음 인테리어 시계	126000	43	5
66	다용도 리빙 박스	투명창이 있어 내용물 확인이 쉬운 옷 정리함	281000	15	5
67	실리콘 뒤집개	프라이팬 손상 없는 내열 실리콘 조리도구	287000	29	2
68	휴대용 선풍기	3단계 바람 조절과 거치대 포함 손선풍기	112000	79	1
69	빨래 건조대	많은 양의 빨래도 튼튼하게 지지하는 건조대	117000	86	4
70	주방용 저울	1g 단위 정밀 측정이 가능한 베이킹 필수품	230000	81	2
71	순면 타월 5종 세트	흡수력이 좋고 부드러운 40수 고중량 수건	103000	11	4
72	암막 양우산	자외선 차단과 비바람을 모두 막아주는 경량 양우산	206000	123	3
73	거실 슬리퍼	층간소음을 줄여주는 푹신한 쿠션감의 실내화	30000	29	3
74	가죽 벨트	깔끔한 버클 디자인의 자동 조절 천연 가죽 벨트	232000	45	3
75	스마트 체중계	체지방과 근육량을 분석하는 블루투스 연동 기기	217000	35	4
76	칫솔 세트 10입	미세모로 잇몸 자극 없이 깨끗한 세정 가능	191000	80	4
77	노트북 파우치 15인치	내부 극세사 안감으로 스크래치 방지 가방	238000	44	1
78	여행용 파우치 6종	캐리어 내부를 깔끔하게 정리해주는 여행템	308000	133	3
79	욕실용 규조토 매트	물기를 빠르게 흡수하고 건조되는 친환경 발매트	20000	85	4
80	목 마사지기	온열 기능이 포함된 무선 전동 마사지기	16000	111	4
81	강아지 배변 패드	강력한 흡수력과 냄새 제거 효과의 애견 패드	172000	85	8
82	고양이 낚시 장난감	반려묘의 활동량을 높여주는 깃털 장난감	68000	20	8
83	캠핑용 랜턴	밝기 조절이 가능한 빈티지 디자인 LED 랜턴	141000	3	7
84	와이드 모니터 받침대	거북목 방지와 책상 정리를 도와주는 받침대	247000	81	1
85	차량용 스마트폰 거치대	무선 충전을 지원하는 자동 개폐형 거치대	49000	33	1
86	원목 도마 세트	항균력이 뛰어난 느티나무 원목 수제 도마	284000	8	2
87	보풀 제거기	강력한 회전날로 옷감을 새 옷처럼 관리해주는 기기	59000	41	4
88	미니 가습기	책상 위에 두고 쓰기 좋은 USB 타입 무소음 가습기	222000	126	4
89	메이크업 브러쉬 세트	전문가용 구성으로 정교한 화장이 가능한 브러쉬	144000	41	4
90	주방 발매트	기름기와 물기에 강한 PVC 소재 긴 매트	215000	114	5
91	스탠드형 옷걸이	공간을 적게 차지하는 튼튼한 철제 행거	285000	19	5
92	전기 담요	겨울철 캠핑이나 침대에서 쓰기 좋은 절전형 담요	275000	14	4
93	압축팩 세트	부피가 큰 이불과 옷을 1/3로 줄여주는 압축팩	185000	35	5
94	현관 문 끼임 방지 패드	아이들 손 끼임을 막아주는 안전 도어 스토퍼	179000	47	4
95	일회용 마스크 50매	비말 차단 성능이 우수한 3중 필터 마스크	152000	29	4
96	냉감 베개 커버	여름철 머리를 시원하게 유지해주는 쿨링 소재 커버	59000	94	5
97	다용도 가위	고기부터 딱딱한 재료까지 잘 썰리는 주방 가위	21000	65	2
98	벽면 부착식 선반	타공 없이 간편하게 설치하는 욕실 무타공 선반	299000	81	4
99	에코 가습기	전기 없이 물만 부어 사용하는 종이 가습기	211000	83	4
100	접이식 장바구니	휴대가 간편하고 세탁이 가능한 친환경 장바구니	172000	90	3
101	간편식 닭가슴살 팩	수비드 공법으로 부드러운 다이어트용 닭가슴살	176000	8	6
102	유기농 견과류 세트	하루 한 봉으로 챙기는 건강한 고소함	198000	111	6
103	방수 캠핑 타프	강력한 차광력과 방수 기능을 갖춘 대형 타프	259000	78	7
104	무선 에어건	PC 내부나 창틀 먼지를 강력하게 불어내는 청소기	88000	91	1
105	고중량 요가 휠	스트레칭과 자세 교정에 도움을 주는 요가 도구	69000	105	7
106	원목 바지걸이 10입	바지 구김 없이 깔끔하게 보관 가능한 원목 걸이	187000	124	5
107	차량용 햇빛 가리개	자석 부착형으로 간편하게 설치하는 암막 가리개	200000	100	4
108	자동 물줄기 분무기	버튼만 누르면 연속 분사되는 전동 분무기	258000	118	4
109	강화유리 주방 도마	칼집이 나지 않고 위생적인 강화유리 소재 도마	248000	16	2
110	낚시용 아이스박스	보냉력이 뛰어나 신선도를 오래 유지하는 쿨러	190000	7	7
111	홈트레이닝 푸쉬업바	손목 부담을 줄여주는 인체공학적 설계의 바	34000	77	7
112	미니 전기 밥솥	자취생이나 캠핑족에게 딱 맞는 2~3인용 밥솥	298000	6	1
113	자전거 라이트 세트	야간 주행 시 안전을 책임지는 고휘도 LED	210000	120	7
114	대용량 빨래 바구니	통기성이 좋은 메쉬 소재의 이동식 바구니	247000	13	4
115	화장실 청소용 솔	구석구석 닿기 힘든 곳까지 닦아주는 유연한 솔	133000	3	4
116	스테인리스 빨대 세트	일회용품 줄이기를 위한 세척 솔 포함 빨대	63000	115	2
117	가구 수평 조절 다리	흔들리는 가구를 고정해주는 미끄럼 방지 다리	199000	135	5
118	휴대용 독서등	책에 끼워 사용하는 눈이 편안한 LED 라이트	72000	109	1
119	반려견 노즈워크 매트	간식을 숨겨 스트레스를 해소하는 놀이 매트	181000	68	8
120	고양이 스크래쳐	내구성이 뛰어난 골판지 소재의 고양이 휴식처	147000	19	8
121	멀티탭 정리함	지저분한 전선들을 깔끔하게 가려주는 화이트 박스	108000	48	5
122	자석 현관 방충망	여닫기 편리하고 벌레 침입을 막아주는 망사 커튼	262000	37	4
123	주방용 타이머	요리 시간을 정확하게 알려주는 자석 부착형 시계	17000	59	2
124	일회용 종이컵 1000개	사무실이나 행사용으로 쓰기 좋은 6.5온스 컵	65000	74	4
125	여름용 쿨링 패드	냉감 원단으로 시원한 잠자리를 선사하는 매트	59000	8	5
126	여행용 목베개	메모리폼 소재로 장시간 비행에도 편안한 베개	207000	125	3
127	운동용 땀 밴드	땀 흡수가 빠르고 신축성이 좋은 헤드 밴드	126000	102	7
128	스마트 일러스트 무드등	감성적인 그림과 은은한 빛의 인테리어 조명	101000	7	5
129	도어 매트	먼지를 털어내기 좋은 거친 질감의 외부용 매트	86000	53	5
130	캠핑용 설거지통	접이식으로 보관이 용이한 대용량 설거지 가방	242000	66	7
131	실리콘 냄비 받침	내열성이 강하고 세척이 쉬운 벌집 모양 받침	264000	56	2
132	화장대 정리함	립스틱과 브러쉬를 한눈에 정리하는 투명 수납함	39000	107	4
133	휴대용 구급함	비상 약품을 안전하게 보관하는 콤팩트 케이스	293000	71	4
134	자전거 자물쇠	절단이 어려운 튼튼한 강철 와이어 잠금장치	137000	11	7
135	노트북 키보드 커버	먼지 유입과 오염을 방지하는 실리콘 커버	233000	96	1
136	샤워기 필터 세트	녹물과 불순물을 걸러주는 깨끗한 물 관리 필터	152000	52	4
137	베란다 타일 매트	조립이 간편한 미끄럼 방지 욕실 겸용 매트	135000	16	5
138	압축형 여행용 가방	옷 부피를 줄여 캐리어 공간을 확보하는 가방	213000	25	3
139	반려동물 자동 급식기	정해진 시간에 사료를 급여하는 스마트 기기	212000	105	8
140	캠핑용 양념통 세트	다양한 소스를 담을 수 있는 전용 파우치 포함	131000	45	7
141	화장실 방향제	악취를 제거하고 향기만 남기는 스프레이 타입	74000	65	4
142	컴퓨터 장패드	키보드와 마우스를 한 번에 올리는 대형 패드	281000	72	1
143	헤드 드라이어 거치대	벽에 못 박지 않고 붙이는 무타공 거치대	181000	107	4
144	다용도 고무 망치	DIY 가구 조립 시 손상을 방지하는 망치	43000	98	5
145	원예용 삽 세트	베란다 텃밭 가꾸기에 좋은 미니 도구 3종	141000	133	7
146	신발 탈취제	운동화의 냄새와 습기를 제거하는 스프레이	170000	41	4
147	옷 먼지 제거 테이프	옷에 붙은 먼지와 머리카락을 깔끔하게 제거	285000	64	4
148	냉장고 탈취 필터	음식물 냄새를 흡수하여 내부 공기를 상쾌하게	258000	135	4
149	벽걸이용 달력	매달 일정을 한눈에 확인하는 깔끔한 디자인	299000	61	5
150	자석 타이머	냉장고에 부착하여 요리 시간을 관리하는 회전 타이머	57000	31	2
151	무선 전동 드릴	가정용 DIY 및 가구 조립용 충전식 드릴	46000	116	1
152	스포츠 암밴드	러닝 시 스마트폰을 팔에 고정하는 방수 밴드	131000	4	7
153	모니터 조명 스크린바	눈의 피로를 줄여주는 비대칭 광학 조명	19000	93	1
154	강아지 산책용 가슴줄	목 조임 없이 편안한 착용감의 하네스	54000	18	8
155	차량용 비상용 망치	사고 시 유리창을 깨는 안전 도구	84000	30	4
156	대용량 보온병 1.2L	야외활동에 적합한 강력한 보온 보냉병	98000	50	2
157	데스크 매트	책상 오염을 방지하는 대형 가죽 패드	219000	36	5
158	미니 탁상용 선풍기	좁은 공간용 저소음 USB 선풍기	164000	39	1
159	가죽 여권 케이스	고급스러운 디자인의 천연 가죽 여권 커버	223000	84	3
160	반려묘 캣잎 장난감	고양이 기분 전환을 돕는 천연 인형	111000	129	8
161	손목 보호대	터널증후군 예방을 위한 압박 보호대	258000	82	4
162	휴대용 비데	여행 시 위생적으로 사용하는 개인용 비데	274000	37	4
163	자전거 안장 커버	장거리 주행 통증을 줄여주는 젤 커버	65000	86	7
164	화장실 발판 스툴	배변 활동을 돕는 인체공학적 발받침대	272000	31	4
165	메탈 시계줄 스트랩	스마트 워치용 스테인리스 스트랩	245000	22	1
166	다용도 바구니 3종	소품을 정리하기 좋은 플라스틱 박스 세트	140000	113	4
167	일회용 종이 접시 50입	캠핑 파티용 간편한 종이 접시 세트	222000	55	2
168	무선 마우스 패드	충전과 마우스 사용을 동시에 하는 패드	103000	31	1
169	휴대용 약통 케이스	요일별 영양제 보관 미니 케이스	97000	112	4
170	유리창 청소기	자석 방식으로 양면을 동시에 닦는 청소기	82000	72	4
171	베란다 빨래줄	자동 수축형으로 공간 효율이 좋은 건조 라인	85000	115	4
172	헤드셋 거치대	책상 위 헤드셋을 깔끔하게 거치하는 스탠드	29000	89	1
173	요가 스트레칭 밴드	유연성 향상을 돕는 고탄력 라텍스 밴드	136000	95	7
174	스마트 태그 위치 추적기	반려견이나 소지품 분실 방지 장치	59000	110	1
175	욕실 틈새 브러시	타일 사이 곰팡이를 제거하는 날렵한 솔	111000	12	4
176	실리콘 컵 덮개	먼지 유입을 막고 보온을 유지하는 덮개	208000	19	2
177	노트북 거치대	거북목 예방을 위한 6단계 각도 조절 스탠드	24000	50	1
178	차량용 틈새 수납함	시트 사이 빈 공간에 설치하는 포켓	205000	65	4
179	캠핑용 식기 세트	스테인리스 소재의 4인용 휴대 식기 세트	70000	29	7
180	메모리폼 발매트	물기 흡수가 빠르고 발이 편한 쿠션 매트	266000	15	4
181	주방용 오일병	눈금이 있어 양 조절이 쉬운 유리 오일병	83000	121	2
182	다용도 케이블 타이	전선을 깔끔하게 묶는 벨크로 타이	250000	22	1
183	휴대용 손난로 보조배터리	충전식 전기 손난로 겸용 보조배터리	246000	25	1
184	벽면 부착식 거울	못 없이 붙이는 아크릴 안전 거울	46000	7	5
185	원목 메모 홀더	중요한 메모를 꽂아두는 인테리어 소품	226000	69	5
186	아이패드 펜슬 촉 보호캡	펜촉 마모와 소음을 줄여주는 보호캡	287000	57	1
187	화장실 청소 건	강력한 수압의 욕실 세척용 스프레이	266000	123	4
188	미니 마사지건	근육 뭉침을 푸는 강력 진동 안마기	94000	48	4
189	신발 정리대	신발장 공간을 2배로 넓히는 정리 선반	292000	123	5
190	전동 눈썹 바리깡	자극 없이 눈썹을 정리하는 미용 기기	54000	104	4
191	캐리어 보호 커버	스크래치를 방지하는 신축성 가방 커버	67000	40	3
192	차량용 세차 버킷	용품 보관과 물통으로 쓰는 세차 바구니	168000	51	4
193	접이식 독서대	책이나 태블릿 지지가 가능한 각도 조절 독서대	53000	3	5
194	주방 싱크대 선반	싱크대 하부 공간 활용을 돕는 확장 선반	110000	47	5
195	먼지 털이개	정전기 방식으로 먼지를 흡착하는 털이개	255000	90	4
196	일회용 비닐장갑 100매	요리 및 청소용 위생 비닐장갑	181000	100	4
197	자석 타이머	냉장고 부착형 심플 회전 타이머	95000	59	2
198	미니 핸드 믹서	드레싱을 간편하게 섞어주는 전동 믹서	176000	102	2
199	옷장 제습제	습기와 곰팡이를 방지하는 걸이형 제습제	29000	103	4
200	자외선 차단 팔토시	야외 활동 시 햇빛을 차단하는 토시	63000	130	3
201	홈트레이닝 문틀 철봉	못 없이 설치하여 등 근육을 단련하는 기구	82000	65	7
202	차량용 목쿠션	운전 시 목의 피로를 덜어주는 메모리폼 쿠션	293000	116	4
203	벽 부착식 칫솔걸이	물빠짐 구멍이 있어 위생적인 무타공 홀더	146000	85	4
204	원목 모니터 받침대	키보드 수납이 가능한 데스크 테리어 아이템	188000	30	5
205	캠핑용 접이식 테이블	가벼운 알루미늄 소재의 휴대용 야외 탁자	296000	112	7
206	대용량 얼음 틀	한 번에 많은 양을 만드는 실리콘 트레이	163000	32	2
207	자동 센서 무드등	움직임을 감지하여 켜지는 복도 전용 조명	109000	54	5
208	미니 실러	먹다 남은 과자 봉투를 밀봉하는 휴대용 기기	57000	98	2
209	다용도 실리콘 장갑	수세미 없이 설거지가 가능한 돌기형 장갑	51000	99	4
210	반려견 쿨매트	여름철 강아지 체온을 낮춰주는 냉매 젤 매트	207000	6	8
211	욕실 발가락 슬리퍼	물 빠짐이 빠르고 건조가 용이한 실내화	205000	76	4
212	자석 우산 거치대	현관문에 붙여 공간을 절약하는 보관함	234000	113	5
213	스마트폰 방수팩	수영장에서 안전하게 사용하는 터치 가능한 팩	99000	52	7
214	화장대 LED 거울	메이크업 시 얼굴을 환하게 밝히는 조명 거울	190000	7	4
215	캐리어 저울	여행 전 무게를 미리 확인하는 디지털 저울	27000	29	3
216	주방 틈새 선반	냉장고 옆 공간에 쏙 들어가는 바퀴형 수납장	235000	69	5
217	실리콘 빨대 세트	재사용과 열탕 소독이 가능한 친환경 빨대	98000	32	2
218	휴대용 보풀 제거기	회전 칼날로 옷감을 새 옷처럼 관리하는 기기	109000	102	4
219	전기 모기채	강력한 전압으로 해충을 잡는 충전식 모기채	74000	11	4
220	주방용 고무장갑	손목이 긴 디자인으로 물 유입을 막는 장갑	210000	100	2
221	베란다 조립식 마루	맨발로 다닐 수 있는 따뜻한 느낌의 데크타일	308000	114	5
222	일회용 행주 롤	한 장씩 뜯어 쓰는 위생적인 뽑아 쓰는 행주	161000	39	4
223	스마트 태그 케이스	위치 추적기를 걸 수 있는 실리콘 커버	192000	61	1
224	차량용 킥매트	뒷좌석 시트 오염을 방지하는 보호 커버	228000	129	4
225	문 닫힘 방지 쿠션	바람에 문이 쾅 닫히는 것을 막는 안전 용품	126000	21	4
226	욕실 코너 선반	타일 벽면에 붙여 샴푸를 정리하는 선반	89000	106	4
227	노트북 쿨링 스탠드	대형 팬으로 기기 발열을 제어하는 받침대	153000	69	1
228	투명 문풍지	겨울철 틈새바람을 막아 난방비를 줄이는 테이프	237000	81	4
229	강아지 자동 리드줄	줄 길이를 자유롭게 조절하는 안전 산책줄	237000	61	8
230	압축 쓰레기통	쓰레기 부피를 눌러서 줄이는 아이디어 휴지통	36000	22	5
231	주방용 식기건조대	좁은 싱크대 공간 활용이 좋은 2단 건조대	125000	20	2
232	다용도 S자 고리	주방도구나 가방을 거는 스테인리스 고리	55000	14	4
233	휴대용 비누 종이	야외에서 한 장씩 꺼내 쓰는 미니 비누	115000	50	4
234	벽면 부착식 매거진 렉	잡지를 세련되게 보관하는 인테리어 선반	129000	10	5
235	메모리폼 실내화	장시간 서 있어도 발이 편한 푹신한 슬리퍼	301000	11	4
236	신발 앞코 보호대	신발의 주름과 꺾임을 방지하는 가드	138000	44	3
237	샤워기 걸이 조절기	아이들 키에 맞춰 높이를 조절하는 거치대	98000	5	4
238	미니 마사지 롤러	종아리 붓기를 제거하는 수동 안마 기구	58000	90	4
239	에어프라이어 종이호일	조리 후 뒤처리가 간편한 기름 흡수지	243000	37	2
240	자전거 컵 홀더	주행 중 음료를 거치할 수 있는 안장 홀더	148000	133	7
241	캐리어 이름표	공항에서 내 가방을 쉽게 찾는 실리콘 네임텍	130000	69	3
242	싱크대 거름망	음식물 쓰레기 배출을 돕는 신축성 좋은 망	148000	27	2
243	암막 눈안대	낮잠이나 여행 시 빛을 차단하는 숙면 안대	55000	110	4
244	다용도 바구니 정리함	냉장고 내부 소품을 정리하는 투명 수납박스	112000	34	5
245	가구 스크래치 방지 패드	의자 다리에 붙여 바닥 긁힘을 방지하는 패드	89000	64	5
246	일회용 변기 세정제	물 내릴 때마다 세정 성분이 나오는 고체 세제	30000	40	4
247	자석 타이머 시계	냉장고에 부착하여 시간을 관리하는 타이머	214000	13	2
248	미니 믹서기 텀블러	갈아서 바로 마시는 휴대용 무선 블렌더	202000	99	1
249	옷장용 탈취 방향제	옷에 배인 냄새를 없애고 향기를 남기는 포푸리	175000	81	4
250	방수 캠핑 돗자리	습기를 차단하고 모래가 잘 털리는 대형 매트	180000	78	7
251	원목 독서대	각도 조절이 자유로운 목이 편안한 받침대	36000	73	5
252	미니 실내 온실	베란다 화초 재배용 조립식 비닐하우스	117000	9	7
253	차량용 성에 제거기	겨울철 유리창의 눈과 얼음을 긁어내는 도구	194000	63	4
254	일회용 렌즈 클리너	액정 지문을 깔끔하게 닦아주는 개별 포장 티슈	99000	7	4
255	캠핑용 설거지 가방	방수 재질로 보관이 쉬운 접이식 바구니	176000	72	7
256	강아지 발 세척기	산책 후 발만 씻겨주는 컵 형태 세척 도구	131000	45	8
257	다용도 리폼 시트지	가구 분위기를 바꾸는 접착식 인테리어 필름	53000	39	5
258	휴대용 손가락 키보드	스마트기기 연결용 미니 블루투스 키보드	31000	35	1
259	주방 싱크대 매트	그릇 부딪힘 소음과 파손을 방지하는 매트	134000	63	2
260	반려묘 윈도우 해먹	유리창에 부착하는 고양이 전용 침대	212000	39	8
261	여행용 도난방지 스프링	가방과 지갑을 연결하는 보안 와이어	59000	26	3
262	일회용 변기 커버	공중화장실용 위생적인 개인용 종이 시트	74000	105	4
263	스마트폰 핑거 스트랩	기기 낙하를 방지하는 부드러운 밴드	75000	135	1
264	옷장용 칸막이 정리대	옷들을 종류별로 나누어 보관하는 수납판	259000	6	5
265	자전거 휠 라이트	야간 주행 시 안전을 돕는 휠 장착 LED	185000	67	7
266	다용도 자석 걸이	현관문에 붙여 열쇠를 거는 강력 자석	107000	132	4
267	실리콘 신발 커버	비 오는 날 덧신는 신축성 좋은 방수 커버	273000	20	3
268	휴대용 보풀 제거 테이프	가방에 쏙 들어가는 미니 사이즈 롤러	254000	131	4
269	전기 신발 건조기	젖은 신발을 따뜻한 바람으로 말려주는 기구	90000	38	1
270	주방용 마늘 다지기	손에 냄새 묻히지 않고 마늘을 압착하는 도구	293000	62	2
271	베란다 빨래 집게 20입	바람에 날리지 않게 고정하는 튼튼한 집게	152000	31	4
272	스마트폰 확대 스크린	영상을 크게 확대해주는 거치대형 렌즈	173000	16	1
273	실리콘 안경 코받침	미끄럼을 방지하고 자국을 줄이는 패드	102000	75	4
274	차량용 안심번호판	개인 번호 노출을 막는 가상번호 알림판	247000	93	4
275	문틈 먼지 차단 바	틈새로 들어오는 먼지와 벌레를 막는 가드	247000	19	4
276	욕실 배수구 거름망	머리카락 유입을 막아 막힘을 방지하는 망	52000	41	4
277	노트북 키보드 라이트	어두운 곳에서 자판을 비추는 USB 조명	195000	134	1
278	원목 열쇠 보관함	현관 벽에 설치하는 앤티크한 수납함	270000	29	5
279	강아지 넥카라	수술 후 환부 보호를 위한 푹신한 쿠션 카라	55000	87	8
280	다용도 압축 선반	못 없이 벽 사이에 고정하는 수납용 선반	129000	23	5
281	주방용 실리콘 깔때기	액체를 옮기기 편한 접이식 깔때기	286000	112	2
282	다용도 벨크로 밴드	전선이나 장비를 묶어 정리하는 밴드	11000	84	1
283	휴대용 미니 저울	재료를 계량하는 소형 디지털 주방 저울	203000	14	2
284	벽면 부착식 휴지통	바닥 청소가 용이한 벽걸이형 쓰레기통	140000	123	5
285	메모리폼 손목 받침대	키보드 사용 시 피로를 낮추는 쿠션 패드	269000	69	4
286	신발 냄새 제거 볼	운동화의 냄새와 습기를 제거하는 볼	68000	128	4
287	샤워기 수압 상승 헤드	적은 물로 강력한 수압을 만드는 헤드	275000	13	4
288	미니 마사지 볼	근육 뭉침을 푸는 휴대가 간편한 안마 공	186000	62	7
289	일회용 종이 조리 모자	요리 시 위생을 위한 종이 소재 모자	203000	70	2
290	자전거 휴대용 펌프	갑작스러운 공기압 저하에 대비하는 미니 펌프	257000	95	7
291	캐리어 결합 가방	손잡이에 끼워 보조 가방으로 쓰는 접이식 백	216000	117	3
292	싱크대 밀폐 덮개	냄새와 초파리를 차단하는 실리콘 덮개	235000	41	2
293	암막 자동차 커튼	차박 시 프라이버시를 지켜주는 커튼	309000	62	5
294	다용도 바구니 칸막이	서랍 안을 분리하여 정리하는 조립식 판	123000	90	5
295	가구 모서리 보호대	충격을 방지하는 투명 실리콘 안전 가드	63000	62	5
296	일회용 싱크대 거름망	음식물 쓰레기를 한 번에 모아 버리는 망	97000	72	4
297	자석 부착식 가위	냉장고에 붙여 쓰는 편리한 주방 가위	149000	65	2
298	미니 캔들 워머	불 없이 향초를 녹여 향을 퍼뜨리는 조명	214000	27	5
299	옷장용 향기 시트	옷 사이의 눅눅한 냄새를 없애는 방향제	29000	41	4
300	방수 등산용 스패츠	눈이나 흙이 신발에 들어오는 것을 막는 커버	202000	113	7
