hno	hname	ano	gno	haddress	hinfo	roomtype	roomcnt
48	울산마운틴펜션	7	301	울산 울주군 두동면	산속 자연을 가까이에서 느낄 수 있는 펜션입니다.	1	15
49	인천섬펜션	3	301	인천 옹진군 영흥면	섬 여행 감성을 담은 조용한 펜션입니다.	1	21
50	대전도심펜션	5	301	대전 동구 가양동	도심 속에서 편안한 휴식을 제공합니다.	1	13
51	서울근교펜션	1	301	서울 도봉구 쌍문동	서울 근교 여행에 적합한 감성 펜션입니다.	1	18
52	광주힐펜션	4	301	광주 광산구 첨단동	조용한 분위기의 힐링 숙소입니다.	1	16
53	세종그린펜션	10	301	세종 연기면	자연 친화적인 분위기의 감성 펜션입니다.	1	12
54	전북리버펜션	15	301	전북 남원시 도통동	강변 풍경과 함께 편안한 시간을 제공합니다.	1	20
55	경남바다펜션	14	301	경남 통영시 산양읍	바다와 함께 특별한 추억을 만들 수 있는 펜션입니다.	1	23
56	서울역모텔1	1	401	서울 중구 남대문로	서울역 인근에 위치한 편리한 숙소입니다.	3,4	10,30
57	서울역모텔2	1	401	서울 용산구 한강로	교통 접근성이 뛰어난 가성비 모텔입니다.	3,4	12,28
58	부산서면모텔1	2	401	부산 부산진구 부전동	부산 중심가에서 편리한 숙박을 제공합니다.	3,4	15,35
59	부산해운대모텔	2	401	부산 해운대구 우동	해운대 바다와 가까운 깔끔한 모텔입니다.	3,4	14,36
60	인천공항모텔	3	401	인천 중구 운서동	공항 이용객에게 최적화된 숙소입니다.	3,4	10,25
61	광주터미널모텔	4	401	광주 서구 농성동	터미널 인근에 위치한 실속형 모텔입니다.	3,4	11,22
62	대전둔산모텔	5	401	대전 서구 둔산동	둔산 중심가에 위치한 편리한 모텔입니다.	3,4	13,27
63	대구동성로모텔	6	401	대구 중구 동성로	동성로 번화가와 가까운 모텔입니다.	3,4	16,34
64	울산삼산모텔	7	401	울산 남구 삼산동	울산 중심 상권에 위치한 깔끔한 모텔입니다.	3,4	12,30
65	경기수원모텔	8	401	경기 수원시 팔달구	수원 시내 접근성이 좋은 모텔입니다.	3,4	14,28
66	강원강릉모텔	9	401	강원 강릉시 교동	강릉 여행에 적합한 실속형 숙소입니다.	3,4	10,20
67	세종모텔1	10	401	세종 조치원읍	세종 지역 출장객에게 적합한 모텔입니다.	3,4	9,18
68	충북청주모텔	11	401	충북 청주시 상당구	청주 도심에 위치한 편안한 모텔입니다.	3,4	13,26
69	충남천안모텔	12	401	충남 천안시 동남구	천안 시내 접근성이 우수한 모텔입니다.	3,4	12,24
70	경북포항모텔	13	401	경북 포항시 남구	포항 여행객을 위한 합리적인 숙소입니다.	3,4	14,28
71	경남창원모텔	14	401	경남 창원시 의창구	창원 도심에서 편안한 숙박을 제공합니다.	3,4	15,30
72	전북전주모텔	15	401	전북 전주시 덕진구	전주 한옥마을 여행에 적합한 모텔입니다.	3,4	13,27
73	전남목포모텔	16	401	전남 목포시 상동	목포 바다 여행에 편리한 숙소입니다.	3,4	12,24
74	제주서귀포모텔	17	401	제주 서귀포시 서홍동	서귀포 관광에 적합한 가성비 모텔입니다.	3,4	18,36
75	서울강남모텔	1	401	서울 강남구 논현동	강남 중심지에서 편리하게 이용 가능한 모텔입니다.	3,4	20,40
76	부산광안리모텔	2	401	부산 수영구 광안동	광안리 해변과 가까운 모텔입니다.	3,4	16,32
77	인천부평모텔	3	401	인천 부평구 부평동	부평 중심가에 위치한 실속형 숙소입니다.	3,4	14,28
78	경기일산모텔	8	401	경기 고양시 일산동구	일산 호수공원 인근의 깔끔한 모텔입니다.	3,4	18,36
79	강원속초모텔	9	401	강원 속초시 조양동	속초 바다 여행에 적합한 숙소입니다.	3,4	12,24
80	광주상무모텔	4	401	광주 서구 상무동	상무지구 중심에 위치한 모텔입니다.	3,4	11,22
81	대전유성모텔	5	401	대전 유성구 봉명동	유성온천 인근의 편안한 모텔입니다.	3,4	13,26
82	대구수성모텔	6	401	대구 수성구 황금동	수성구 중심에 위치한 깔끔한 모텔입니다.	3,4	15,30
83	울산동구모텔	7	401	울산 동구 방어동	울산 동구 여행객을 위한 숙소입니다.	3,4	12,24
84	경남진주모텔	14	401	경남 진주시 평거동	진주 시내와 가까운 실속형 모텔입니다.	3,4	14,28
85	제주공항모텔	17	401	제주 제주시 노형동	제주공항과 가까워 이동이 편리한 모텔입니다.	3,4	18,36
