j_no	s_no	j_title	j_content	j_salary	j_start	j_end	j_day	j_people	j_state	j_regdate
20	20	무비라운지 월,화,수 알바 모집	무비라운지은 서울 지역의 영화관 매장입니다. 입장권 확인과 상영관 입장 안내를 맡고 영화 종료 후 좌석 사이 쓰레기를 정리합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	13000	20:00:00	01:00:00	월,화,수	1	1	2026-08-09
21	21	드림스터디 평일 알바 모집	드림스터디은 서울 지역의 학원 매장입니다. 수업 교실 이동 시간에 복도 질서를 확인하고 분실물과 공지사항 게시를 관리합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	13500	22:00:00	04:00:00	평일	2	0	2026-07-20
22	22	올림학원 주말 알바 모집	올림학원은 서울 지역의 학원 매장입니다. 데스크에서 학부모 전화 문의를 메모하고 결석 학생 전달 사항을 선생님께 공유합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	13800	09:00:00	16:00:00	주말	3	1	2026-08-17
23	23	하이클래스학원 월,수,금 알바 모집	하이클래스학원은 서울 지역의 학원 매장입니다. 상담 예약표를 정리하고 강의 종료 후 교실 전등 냉난방 상태를 확인합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	14100	10:00:00	18:00:00	월,수,금	4	1	2026-09-04
24	24	하나로마켓 월,화,수 알바 모집	하나로마켓은 서울 지역의 마트 매장입니다. 카트와 장바구니를 정리하고 계산대 주변 소모품과 봉투 재고를 채웁니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	10100	12:00:00	16:00:00	월,화,수	1	1	2026-07-01
25	25	우리동네마트 목,금,토 알바 모집	우리동네마트은 서울 지역의 마트 매장입니다. 입고 상품을 진열대에 채우고 가격표와 행사 스티커가 맞는지 꼼꼼히 확인합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	10400	13:00:00	18:00:00	목,금,토	2	1	2026-07-12
26	26	그린마트 평일 알바 모집	그린마트은 서울 지역의 마트 매장입니다. 유통기한이 가까운 상품을 분류하고 매대 앞쪽으로 상품을 보기 좋게 당겨 놓습니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	10700	18:00:00	00:00:00	평일	3	1	2026-09-01
27	27	해피마트 주말 알바 모집	해피마트은 서울 지역의 마트 매장입니다. 농산 코너와 냉장 코너 상태를 점검하고 손님이 찾는 상품 위치를 안내합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	11000	19:00:00	02:00:00	주말	4	1	2026-07-04
28	28	로지스허브 화,목,토 알바 모집	로지스허브은 서울 지역의 물류센터 매장입니다. 안전 장갑을 착용하고 무거운 물품은 직원과 함께 이동하며 정해진 동선을 지킵니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	11500	21:00:00	05:00:00	화,목,토	1	0	2026-08-13
29	29	정직물류 월,화,수 알바 모집	정직물류은 서울 지역의 물류센터 매장입니다. 출고 라인에서 지역별 박스를 구분하고 작업 통로에 물건이 쌓이지 않게 정리합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	11800	22:00:00	02:00:00	월,화,수	2	1	2026-08-03
30	30	데이터헬퍼 평일 알바 모집	데이터헬퍼은 서울 지역의 사무보조 매장입니다. 엑셀 자료 입력과 문서 스캔 파일명 정리를 맡고 전화 문의는 담당자에게 정확히 전달합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	12300	10:00:00	15:00:00	평일	3	1	2026-07-21
31	31	업무지원실 주말 알바 모집	업무지원실은 서울 지역의 사무보조 매장입니다. 데이터 입력 후 오타를 재확인하고 완료된 문서는 폴더별로 분류합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	12600	11:00:00	17:00:00	주말	4	1	2026-08-17
32	32	집중공간 화,목,토 알바 모집	집중공간은 서울 지역의 스터디카페 매장입니다. 음료 코너 컵 얼음 정수기 주변을 정리하고 조용한 분위기가 유지되도록 순회합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	13100	13:00:00	20:00:00	화,목,토	1	1	2026-08-11
33	33	라온스터디카페 월,화,수 알바 모집	라온스터디카페은 서울 지역의 스터디카페 매장입니다. 야간에는 소음 민원을 확인하고 출입문 보안과 공용 공간 청결 상태를 점검합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	13400	18:00:00	02:00:00	월,화,수	2	1	2026-07-19
34	34	더클래스스터디 목,금,토 알바 모집	더클래스스터디은 서울 지역의 스터디카페 매장입니다. 퇴실 좌석을 닦고 콘센트 조명 책상 상태를 점검해 다음 이용자가 바로 사용할 수 있게 합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	13700	19:00:00	23:00:00	목,금,토	3	1	2026-07-28
35	35	모닝빈 월,수,금 알바 모집	모닝빈은 부산 지역의 카페 매장입니다. 에스프레소 추출 보조와 아이스 음료 제조 보조를 맡고 컵 홀더 빨대 시럽류 재고를 수시로 채웁니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	11900	19:00:00	01:00:00	월,수,금	4	0	2026-08-10
36	36	달콤카페 화,목,토 알바 모집	달콤카페은 부산 지역의 카페 매장입니다. 매장 테이블을 빠르게 정리하고 반납대 컵 분류와 베이커리 진열 상태 확인을 맡습니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	12200	20:00:00	03:00:00	화,목,토	1	1	2026-07-12
37	37	루프탑커피 월,화,수 알바 모집	루프탑커피은 부산 지역의 카페 매장입니다. 디저트 쇼케이스 정리와 테이크아웃 포장 주문 접수를 담당하고 퇴근 전 커피 머신 주변을 닦습니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	12500	21:00:00	05:00:00	월,화,수	2	1	2026-07-13
38	38	세븐마켓 평일 알바 모집	세븐마켓은 부산 지역의 편의점 매장입니다. 입고된 박스를 정리하고 과자 음료 즉석식품 진열대를 보기 좋게 채웁니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	13000	09:00:00	13:00:00	평일	3	1	2026-07-14
39	39	굿데이편의점 주말 알바 모집	굿데이편의점은 부산 지역의 편의점 매장입니다. 야간 시간대 상품 진열과 냉장 음료 보충을 중심으로 계산 실수 없이 응대합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	13300	10:00:00	15:00:00	주말	4	1	2026-07-12
40	40	정든키친 화,목,토 알바 모집	정든키친은 부산 지역의 음식점 매장입니다. 홀 좌석 안내와 주문 확인을 맡고 음식이 나오면 테이블 번호에 맞춰 정확히 전달합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	13800	12:00:00	18:00:00	화,목,토	1	1	2026-07-20
41	41	우리식탁 월,화,수 알바 모집	우리식탁은 부산 지역의 음식점 매장입니다. 손님 퇴장 후 테이블을 빠르게 치우고 다음 손님을 위해 수저와 물컵을 준비합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	14100	13:00:00	20:00:00	월,화,수	2	1	2026-08-18
42	42	미소덮밥 목,금,토 알바 모집	미소덮밥은 부산 지역의 음식점 매장입니다. 반찬 리필과 식기 정리 테이블 세팅을 담당하며 점심 피크 전 매장 준비를 돕습니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	14400	18:00:00	02:00:00	목,금,토	3	0	2026-08-06
43	43	버거스팟 주말 알바 모집	버거스팟은 부산 지역의 패스트푸드 매장입니다. 피크 시간에는 음료 컵 뚜껑 포장백 준비 등 빠른 출고 보조를 담당합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	10400	20:00:00	00:00:00	주말	4	1	2026-08-18
44	44	치킨웨이 월,수,금 알바 모집	치킨웨이은 부산 지역의 패스트푸드 매장입니다. 드라이브스루 또는 배달 포장 순서를 확인하고 빠지는 메뉴가 없도록 체크합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	10700	21:00:00	02:00:00	월,수,금	1	1	2026-07-17
45	45	하루패스트푸드 화,목,토 알바 모집	하루패스트푸드은 부산 지역의 패스트푸드 매장입니다. 카운터 주문 접수와 세트 메뉴 포장을 맡고 감자튀김 음료 준비를 보조합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11000	22:00:00	04:00:00	화,목,토	2	1	2026-07-20
46	46	브레드스퀘어 목,금,토 알바 모집	브레드스퀘어은 부산 지역의 베이커리 매장입니다. 시식대와 계산대 주변을 정돈하고 품절된 빵 이름표를 빠르게 정리합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11500	10:00:00	17:00:00	목,금,토	3	1	2026-07-14
47	47	스마일베이커리 평일 알바 모집	스마일베이커리은 부산 지역의 베이커리 매장입니다. 케이크 예약 상품을 확인하고 쇼케이스 온도와 진열 상태를 수시로 점검합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	11800	11:00:00	19:00:00	평일	4	1	2026-07-30
48	48	고소한빵집 주말 알바 모집	고소한빵집은 부산 지역의 베이커리 매장입니다. 마감 전 남은 제품 정리와 매대 청소 포장지 재고 확인을 진행합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	12100	12:00:00	16:00:00	주말	1	1	2026-08-01
49	49	모아PC방 화,목,토 알바 모집	모아PC방은 부산 지역의 PC방 매장입니다. 야간에는 좌석 상태를 순회 점검하고 프린터 이용과 충전 문의를 차분히 처리합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	12600	18:00:00	23:00:00	화,목,토	2	0	2026-08-03
50	50	에이스PC존 월,화,수 알바 모집	에이스PC존은 부산 지역의 PC방 매장입니다. 좌석 이용 후 키보드 마우스 헤드셋을 정리하고 간단한 조리 메뉴 주문을 준비합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	12900	19:00:00	01:00:00	월,화,수	3	1	2026-07-04
51	51	시네마온 평일 알바 모집	시네마온은 부산 지역의 영화관 매장입니다. 상영관 청소와 3D 안경 회수 정리를 맡아 다음 회차 입장이 늦어지지 않게 준비합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	13400	21:00:00	04:00:00	평일	4	1	2026-07-07
52	52	무비라운지 주말 알바 모집	무비라운지은 부산 지역의 영화관 매장입니다. 매점에서 팝콘 음료 세트 포장을 보조하고 대기 줄이 길어지면 주문 안내를 돕습니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	13700	22:00:00	06:00:00	주말	1	1	2026-07-12
53	53	올림학원 화,목,토 알바 모집	올림학원은 부산 지역의 학원 매장입니다. 상담 예약표를 정리하고 강의 종료 후 교실 전등 냉난방 상태를 확인합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	14200	10:00:00	14:00:00	화,목,토	2	1	2026-07-08
54	54	하이클래스학원 월,화,수 알바 모집	하이클래스학원은 부산 지역의 학원 매장입니다. 프린트물 복사와 시험지 분류를 보조하며 자습실 이용 학생을 조용히 안내합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	10000	11:00:00	16:00:00	월,화,수	3	1	2026-07-18
55	55	우리동네마트 평일 알바 모집	우리동네마트은 부산 지역의 마트 매장입니다. 입고 상품을 진열대에 채우고 가격표와 행사 스티커가 맞는지 꼼꼼히 확인합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	10500	13:00:00	19:00:00	평일	4	1	2026-08-04
56	56	그린마트 주말 알바 모집	그린마트은 부산 지역의 마트 매장입니다. 유통기한이 가까운 상품을 분류하고 매대 앞쪽으로 상품을 보기 좋게 당겨 놓습니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	10800	18:00:00	01:00:00	주말	1	0	2026-07-14
57	57	해피마트 월,수,금 알바 모집	해피마트은 부산 지역의 마트 매장입니다. 농산 코너와 냉장 코너 상태를 점검하고 손님이 찾는 상품 위치를 안내합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	11100	19:00:00	03:00:00	월,수,금	2	1	2026-07-27
58	58	정직물류 월,화,수 알바 모집	정직물류은 부산 지역의 물류센터 매장입니다. 안전 장갑을 착용하고 무거운 물품은 직원과 함께 이동하며 정해진 동선을 지킵니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	11600	21:00:00	01:00:00	월,화,수	3	1	2026-07-25
59	59	박스라인센터 목,금,토 알바 모집	박스라인센터은 부산 지역의 물류센터 매장입니다. 출고 라인에서 지역별 박스를 구분하고 작업 통로에 물건이 쌓이지 않게 정리합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	11900	22:00:00	03:00:00	목,금,토	4	1	2026-07-05
60	60	온타임물류 평일 알바 모집	온타임물류은 부산 지역의 물류센터 매장입니다. 입고 상품 바코드를 확인하고 분류 구역별로 박스를 이동시키는 업무를 맡습니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	12200	09:00:00	15:00:00	평일	1	1	2026-08-06
61	61	업무지원실 월,수,금 알바 모집	업무지원실은 부산 지역의 사무보조 매장입니다. 데이터 입력 후 오타를 재확인하고 완료된 문서는 폴더별로 분류합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	12700	11:00:00	18:00:00	월,수,금	2	1	2026-07-24
62	62	비즈서포트 화,목,토 알바 모집	비즈서포트은 부산 지역의 사무보조 매장입니다. 계약서와 신청서류를 순서대로 정리하고 누락된 항목이 있는지 체크합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	13000	12:00:00	20:00:00	화,목,토	3	1	2026-08-28
63	63	클린오피스 월,화,수 알바 모집	클린오피스은 부산 지역의 사무보조 매장입니다. 사무실 비품 수량을 확인하고 방문객 응대와 회의실 정돈을 함께 진행합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	13300	13:00:00	17:00:00	월,화,수	4	0	2026-08-17
